query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.0070522698
000001.txt;True;000001.txt;0.0
000002.txt;False;000601.txt;0.06316103
000003.txt;True;000003.txt;0.023024635
000004.txt;False;022862.txt;0.05056212
000005.txt;False;038878.txt;0.07403491
000006.txt;False;030655.txt;0.06781565
000007.txt;False;041595.txt;0.014717949
000008.txt;False;027692.txt;0.021226406
000009.txt;True;000009.txt;0.035586447
000010.txt;True;000010.txt;0.07902667
000011.txt;True;000011.txt;0.06592488
000012.txt;True;000012.txt;0.012963876
000013.txt;True;000013.txt;0.015765851
000014.txt;False;016403.txt;0.08807366
000015.txt;True;000015.txt;0.056336842
000016.txt;False;078605.txt;0.08548877
000017.txt;True;000017.txt;0.045855694
000018.txt;True;000018.txt;0.039384916
000019.txt;True;000019.txt;0.016202705
000020.txt;False;031649.txt;0.013451868
000021.txt;True;000021.txt;0.07463661
000022.txt;True;000022.txt;0.07699626
000023.txt;False;062441.txt;0.07925745
000024.txt;True;000024.txt;0.07282023
000025.txt;True;000025.txt;0.07772013
000026.txt;False;034849.txt;0.048834603
000027.txt;True;000027.txt;0.08236322
000028.txt;False;024473.txt;0.08470926
000029.txt;False;008633.txt;0.085111834
000030.txt;False;057536.txt;0.06557391
000031.txt;False;050272.txt;0.062403545
000032.txt;True;000032.txt;0.007850033
000034.txt;False;001195.txt;0.048918143
000035.txt;False;039593.txt;0.052345775
000036.txt;True;000036.txt;0.01662169
000037.txt;False;024472.txt;0.08463417
000038.txt;False;000021.txt;0.09267973
000039.txt;False;046496.txt;0.094775304
000040.txt;False;018905.txt;0.08496353
000041.txt;False;045271.txt;0.08938721
000042.txt;False;050216.txt;0.102936365
000043.txt;True;000043.txt;0.09160347
000044.txt;True;000044.txt;0.08231021
000045.txt;False;042696.txt;0.09649141
000046.txt;True;000046.txt;0.0942917
000047.txt;False;078617.txt;0.09415916
000048.txt;True;000048.txt;0.0
000049.txt;False;008528.txt;0.095670044
000050.txt;False;028432.txt;0.0723158
000051.txt;True;000051.txt;0.09881385
000052.txt;False;000300.txt;0.08084969
000053.txt;True;000053.txt;0.062019195
000054.txt;False;028679.txt;0.017435255
000055.txt;False;000534.txt;0.071384996
000056.txt;False;034918.txt;0.069232285
000057.txt;False;040010.txt;0.081266165
000058.txt;False;056194.txt;0.056836106
000059.txt;False;018134.txt;0.03766928
000060.txt;False;011274.txt;0.07094523
000061.txt;False;030655.txt;0.08398006
000062.txt;True;000062.txt;0.037752558
000063.txt;False;039663.txt;0.02514201
000064.txt;True;000064.txt;0.076465555
000065.txt;False;006572.txt;0.073051706
000066.txt;True;000066.txt;0.0
000067.txt;True;000067.txt;0.020409117
000068.txt;False;055409.txt;0.095433086
000069.txt;False;022386.txt;0.16553393
000070.txt;False;073955.txt;0.022173699
000071.txt;True;000071.txt;0.026470255
000072.txt;True;000072.txt;0.0
000073.txt;False;039822.txt;0.046125866
000074.txt;False;069733.txt;0.03693773
000075.txt;False;062499.txt;0.041384615
000076.txt;True;000076.txt;0.063335165
000077.txt;False;024413.txt;0.087273404
000078.txt;True;000078.txt;0.038257807
000079.txt;False;032414.txt;0.053748492
000080.txt;False;025427.txt;0.024479508
000081.txt;False;005606.txt;0.07604085
000082.txt;False;003370.txt;0.090716094
000083.txt;False;078435.txt;0.036467306
000084.txt;False;072700.txt;0.08525498
000085.txt;True;000085.txt;0.0129246265
000086.txt;True;000086.txt;0.030331682
000087.txt;False;027635.txt;0.027296955
000088.txt;False;021736.txt;0.09481081
000089.txt;False;011785.txt;0.043567304
000090.txt;False;050783.txt;0.05850598
000091.txt;True;000091.txt;0.03983861
000092.txt;False;022725.txt;0.03474982
000093.txt;True;000093.txt;0.032953613
000094.txt;True;000094.txt;0.023432385
000095.txt;False;022440.txt;0.048926037
000096.txt;False;039022.txt;0.028883552
000097.txt;False;008363.txt;0.066233285
000098.txt;False;073648.txt;0.023603214
000099.txt;False;021919.txt;0.031425975
000100.txt;False;028749.txt;0.024714427
000101.txt;False;075740.txt;0.05120001
000102.txt;False;006957.txt;0.01919622
000103.txt;True;000103.txt;0.029711125
000104.txt;True;000104.txt;0.04555729
000105.txt;False;022309.txt;0.05300556
000106.txt;True;000106.txt;0.043170113
000107.txt;False;039748.txt;0.07219451
000108.txt;False;038813.txt;0.08934176
000109.txt;True;000109.txt;0.092257574
000110.txt;True;000110.txt;0.019195672
000111.txt;False;064767.txt;0.04681863
000112.txt;False;028748.txt;0.04725659
000113.txt;False;077003.txt;0.05334501
000114.txt;True;000114.txt;0.0389921
000115.txt;True;000115.txt;0.0
000116.txt;False;028750.txt;0.015307719
000117.txt;False;077814.txt;0.03359905
000118.txt;True;000118.txt;0.0
000119.txt;False;055406.txt;0.043198917
000120.txt;True;000120.txt;0.021434154
000121.txt;True;000121.txt;0.0
000122.txt;False;067070.txt;0.034151055
000123.txt;True;000123.txt;0.0
000124.txt;True;000124.txt;0.0
000126.txt;False;000300.txt;0.083475836
000127.txt;False;062204.txt;0.10314931
000128.txt;True;000128.txt;0.09256733
000129.txt;False;013389.txt;0.018654434
000130.txt;True;000130.txt;0.098073654
000131.txt;True;000131.txt;0.085956365
000132.txt;True;000132.txt;0.099709
000133.txt;True;000133.txt;0.08347537
000134.txt;True;000134.txt;0.032227248
000135.txt;False;036392.txt;0.05597602
000136.txt;False;046531.txt;0.1701783
000137.txt;False;002229.txt;0.024631746
000138.txt;True;000138.txt;0.026027933
000139.txt;False;043930.txt;0.021923825
000140.txt;True;000140.txt;0.0
000141.txt;True;000141.txt;0.00571187
000142.txt;False;048929.txt;0.023131173
000143.txt;False;060150.txt;0.063587576
000144.txt;False;068315.txt;0.03627523
000145.txt;False;029513.txt;0.021603633
000146.txt;False;036098.txt;0.041143976
000147.txt;False;029513.txt;0.012183987
000148.txt;False;065006.txt;0.036761165
000149.txt;True;000149.txt;0.03561394
000150.txt;True;000150.txt;0.09271115
000151.txt;False;029513.txt;0.0061904006
000152.txt;False;027842.txt;0.022037674
000153.txt;True;000153.txt;0.0
000154.txt;False;026594.txt;0.01909092
000155.txt;False;010522.txt;0.03423174
000156.txt;True;000156.txt;0.015324846
000157.txt;False;065467.txt;0.04347834
000158.txt;False;002828.txt;0.08323663
000159.txt;False;002165.txt;0.04273977
000160.txt;False;057924.txt;0.046017334
000161.txt;False;068859.txt;0.012791651
000162.txt;True;000162.txt;0.027549552
000163.txt;True;000163.txt;0.07922628
000164.txt;True;000164.txt;0.0
000165.txt;True;000165.txt;0.0
000166.txt;True;000166.txt;0.0
000167.txt;True;000167.txt;0.04141479
000168.txt;False;050225.txt;0.026430463
000169.txt;False;028759.txt;0.024736108
000170.txt;False;011663.txt;0.032168344
000171.txt;False;004669.txt;0.098308034
000172.txt;False;033738.txt;0.032825977
000173.txt;True;000173.txt;0.024978051
000174.txt;True;000174.txt;0.0
000175.txt;False;013967.txt;0.03130983
000176.txt;True;000176.txt;0.07294817
000177.txt;False;072168.txt;0.031945497
000178.txt;False;066491.txt;0.078134105
000179.txt;True;000179.txt;0.0
000180.txt;False;052122.txt;0.039215133
000181.txt;True;000181.txt;0.0
000182.txt;True;000182.txt;0.0
000183.txt;True;000183.txt;0.0
000184.txt;True;000184.txt;0.050927892
000185.txt;True;000185.txt;0.0
000186.txt;False;072423.txt;0.0256525
000187.txt;False;002322.txt;0.062672295
000188.txt;False;078448.txt;0.091625944
000189.txt;True;000189.txt;0.08645331
000190.txt;True;000190.txt;0.097543955
000191.txt;True;000191.txt;0.02591914
000192.txt;True;000192.txt;0.017095685
000193.txt;True;000193.txt;0.07070525
000194.txt;True;000194.txt;0.015829718
000195.txt;False;030215.txt;0.042084884
000196.txt;False;012650.txt;0.015199402
000197.txt;False;073404.txt;0.021964373
000198.txt;False;075965.txt;0.037180662
000199.txt;True;000199.txt;0.0
000200.txt;True;000200.txt;0.051889285
000201.txt;False;076670.txt;0.022524599
000202.txt;False;064709.txt;0.04639134
000203.txt;False;040445.txt;0.07494899
000204.txt;True;000204.txt;0.10550748
000205.txt;True;000205.txt;0.09295747
000206.txt;False;002675.txt;0.0625446
000207.txt;False;028757.txt;0.04303316
000208.txt;False;045611.txt;0.018501703
000209.txt;False;011350.txt;0.031833798
000210.txt;False;048016.txt;0.04378146
000211.txt;True;000211.txt;0.018792205
000212.txt;True;000212.txt;0.032326005
000213.txt;False;057595.txt;0.052367188
000214.txt;True;000214.txt;0.0
000215.txt;False;050750.txt;0.052359745
000216.txt;False;068315.txt;0.03087879
000217.txt;False;012879.txt;0.047660075
000219.txt;True;000219.txt;0.01701703
000220.txt;False;029821.txt;0.050520755
000221.txt;False;001578.txt;0.1358952
000222.txt;False;011442.txt;0.06301001
000223.txt;False;056450.txt;0.04390939
000224.txt;False;062696.txt;0.054189228
000225.txt;False;009754.txt;0.06336967
000226.txt;False;000216.txt;0.042348232
000227.txt;True;000227.txt;0.03303318
000228.txt;True;000228.txt;0.05450613
000229.txt;False;053410.txt;0.0118191615
000230.txt;True;000230.txt;0.052303568
000231.txt;False;028736.txt;0.055202425
000232.txt;False;078076.txt;0.00851222
000233.txt;True;000233.txt;0.022720465
000234.txt;False;026315.txt;0.028330434
000235.txt;False;057456.txt;0.041213237
000236.txt;False;078617.txt;0.08866447
000237.txt;False;008757.txt;0.040231016
000238.txt;True;000238.txt;0.039128043
000239.txt;False;028748.txt;0.031763554
000240.txt;True;000240.txt;0.06841038
000241.txt;True;000241.txt;0.0
000242.txt;False;024551.txt;0.03914173
000243.txt;True;000243.txt;0.018393783
000244.txt;False;075698.txt;0.03873459
000245.txt;False;007891.txt;0.044436596
000246.txt;True;000246.txt;0.038308408
000247.txt;False;038201.txt;0.06812295
000248.txt;False;028736.txt;0.037309587
000249.txt;True;000249.txt;0.0
000250.txt;True;000250.txt;0.0
000251.txt;True;000251.txt;0.09513516
000252.txt;True;000252.txt;0.01521976
000253.txt;True;000253.txt;0.0
000254.txt;True;000254.txt;0.0
000255.txt;True;000255.txt;0.04030899
000256.txt;False;053590.txt;0.04816624
000257.txt;True;000257.txt;0.05498846
000258.txt;False;018975.txt;0.015336174
000259.txt;False;000284.txt;0.056900013
000260.txt;False;014129.txt;0.07975325
000261.txt;False;051976.txt;0.05711195
000262.txt;True;000262.txt;0.0
000263.txt;False;068289.txt;0.08082448
000264.txt;False;004587.txt;0.15133496
000265.txt;False;017921.txt;0.018096242
000266.txt;False;060357.txt;0.027750427
000267.txt;True;000267.txt;0.023479443
000268.txt;False;039968.txt;0.058084104
000269.txt;True;000269.txt;0.036720905
000270.txt;True;000270.txt;0.040626764
000271.txt;False;000300.txt;0.0942231
000272.txt;False;000300.txt;0.077733874
000273.txt;False;078617.txt;0.09114526
000274.txt;False;005123.txt;0.08100607
000275.txt;True;000275.txt;0.0
000276.txt;False;054885.txt;0.0611171
000277.txt;False;045271.txt;0.08730279
000278.txt;False;078617.txt;0.0871738
000279.txt;True;000279.txt;0.10017598
000280.txt;True;000280.txt;0.09090248
000281.txt;False;078617.txt;0.09249829
000282.txt;True;000282.txt;0.083890766
000283.txt;False;048495.txt;0.04270436
000284.txt;True;000284.txt;0.05738762
000285.txt;True;000285.txt;0.057521977
000286.txt;True;000286.txt;0.08118498
000287.txt;True;000287.txt;0.101897016
000288.txt;False;043785.txt;0.066380106
000289.txt;False;015370.txt;0.060816705
000290.txt;True;000290.txt;0.059958003
000291.txt;True;000291.txt;0.021218766
000292.txt;True;000292.txt;0.060814288
000293.txt;True;000293.txt;0.0
000294.txt;False;018484.txt;0.028467145
000295.txt;True;000295.txt;0.0
000296.txt;False;065862.txt;0.011405218
000297.txt;False;023645.txt;0.038113683
000298.txt;False;058095.txt;0.059261553
000299.txt;False;010193.txt;0.041226275
000300.txt;False;000044.txt;0.061806183
000301.txt;False;024023.txt;0.022765003
000302.txt;True;000302.txt;0.03514851
000303.txt;False;034769.txt;0.026764657
000304.txt;False;053123.txt;0.03303942
000305.txt;True;000305.txt;0.0
000306.txt;True;000306.txt;0.023274327
000308.txt;True;000308.txt;0.0
000309.txt;False;011256.txt;0.08258264
000310.txt;False;056610.txt;0.033944264
000311.txt;False;029757.txt;0.03679316
000312.txt;True;000312.txt;0.0
000313.txt;True;000313.txt;0.088863656
000314.txt;False;074841.txt;0.063820325
000315.txt;True;000315.txt;0.058573745
000316.txt;True;000316.txt;0.019383272
000317.txt;True;000317.txt;0.08948253
000318.txt;True;000318.txt;0.03039711
000319.txt;False;022394.txt;0.08755851
000320.txt;True;000320.txt;0.0
000321.txt;False;007051.txt;0.085486755
000322.txt;True;000322.txt;0.03597694
000323.txt;True;000323.txt;0.04923783
000324.txt;False;023930.txt;0.035315573
000325.txt;True;000325.txt;0.0
000326.txt;True;000326.txt;0.024756342
000327.txt;True;000327.txt;0.0
000328.txt;True;000328.txt;0.0356796
000329.txt;False;025139.txt;0.086689256
000330.txt;True;000330.txt;0.044982977
000331.txt;False;034340.txt;0.02121781
000332.txt;False;002156.txt;0.013610682
000333.txt;True;000333.txt;0.023975525
000334.txt;False;076288.txt;0.051078256
000335.txt;False;076022.txt;0.01289279
000336.txt;False;025671.txt;0.046201594
000337.txt;True;000337.txt;0.041245498
000338.txt;True;000338.txt;0.031132355
000339.txt;False;056671.txt;0.03437426
000341.txt;False;026594.txt;0.027122393
000342.txt;False;022346.txt;0.04547345
000343.txt;False;008587.txt;0.023362072
000344.txt;True;000344.txt;0.021702474
000345.txt;False;053410.txt;0.010272807
000346.txt;True;000346.txt;0.0
000347.txt;False;038086.txt;0.0744083
000348.txt;False;052909.txt;0.04145887
000349.txt;False;020334.txt;0.036584605
000350.txt;False;033020.txt;0.019335896
000351.txt;False;003898.txt;0.07432845
000352.txt;False;044597.txt;0.033481233
000353.txt;True;000353.txt;0.0
000354.txt;False;032795.txt;0.061112985
000355.txt;False;078917.txt;0.053713188
000356.txt;False;056658.txt;0.031866316
000357.txt;True;000357.txt;0.0
000358.txt;True;000358.txt;0.0
000359.txt;False;042477.txt;0.053689197
000360.txt;True;000360.txt;0.03306319
000361.txt;False;053756.txt;0.038387038
000362.txt;False;051990.txt;0.0144888135
000363.txt;False;041392.txt;0.046312004
000364.txt;True;000364.txt;0.0
000366.txt;False;056565.txt;0.021746356
000367.txt;False;024113.txt;0.023117645
000368.txt;True;000368.txt;0.041350875
000369.txt;False;037590.txt;0.11471735
000370.txt;True;000370.txt;0.033076942
000371.txt;False;029365.txt;0.084811315
000372.txt;True;000372.txt;0.009732751
000373.txt;False;015322.txt;0.07739815
000374.txt;False;072062.txt;0.07061619
000375.txt;True;000375.txt;0.0
000376.txt;True;000376.txt;0.0
000377.txt;False;077591.txt;0.04872319
000378.txt;False;042558.txt;0.03155143
000379.txt;True;000379.txt;0.039134044
000380.txt;False;077328.txt;0.032165166
000381.txt;True;000381.txt;0.0
000382.txt;True;000382.txt;0.0
000383.txt;False;048116.txt;0.095273316
000384.txt;False;022619.txt;0.060851827
000385.txt;False;019066.txt;0.044547975
000386.txt;False;011663.txt;0.013965232
000387.txt;False;022175.txt;0.04598783
000388.txt;False;058097.txt;0.07901825
000389.txt;True;000389.txt;0.0
000390.txt;False;016734.txt;0.09743208
000391.txt;False;006708.txt;0.016021572
000392.txt;False;069989.txt;0.035301283
000393.txt;False;046059.txt;0.10687786
000394.txt;False;057730.txt;0.077430725
000395.txt;False;069459.txt;0.03737342
000396.txt;False;010065.txt;0.048720956
000397.txt;False;050842.txt;0.062675886
000398.txt;True;000398.txt;0.057889216
000399.txt;True;000399.txt;0.10851022
000400.txt;True;000400.txt;0.011346225
000401.txt;True;000401.txt;0.05608078
000402.txt;True;000402.txt;0.030698622
000403.txt;False;053152.txt;0.073735416
000404.txt;True;000404.txt;0.052846976
000405.txt;False;058852.txt;0.0644152
000406.txt;True;000406.txt;0.033779647
000407.txt;True;000407.txt;0.047544084
000408.txt;True;000408.txt;0.026917033
000409.txt;False;010406.txt;0.036281276
000410.txt;True;000410.txt;0.0099731535
000411.txt;False;046265.txt;0.028280506
000412.txt;False;010496.txt;0.021339646
000413.txt;False;034704.txt;0.011582809
000414.txt;False;010826.txt;0.04202997
000415.txt;True;000415.txt;0.0
000416.txt;True;000416.txt;0.0
000417.txt;True;000417.txt;0.034000095
000418.txt;False;015017.txt;0.052039534
000419.txt;False;025915.txt;0.06771307
000420.txt;True;000420.txt;0.044394806
000421.txt;True;000421.txt;0.0
000422.txt;False;020068.txt;0.031073736
000423.txt;False;031649.txt;0.017878478
000424.txt;False;008439.txt;0.04784038
000425.txt;False;014518.txt;0.028154844
000426.txt;True;000426.txt;0.014772326
000427.txt;False;028748.txt;0.01082177
000428.txt;False;075106.txt;0.05353596
000429.txt;True;000429.txt;0.0
000430.txt;False;027296.txt;0.028245967
000431.txt;False;072808.txt;0.018344915
000432.txt;True;000432.txt;0.016584925
000433.txt;True;000433.txt;0.0
000434.txt;False;008655.txt;0.021575332
000435.txt;True;000435.txt;0.042438228
000436.txt;True;000436.txt;0.0
000437.txt;False;009680.txt;0.05368638
000438.txt;False;027296.txt;0.040526588
000439.txt;True;000439.txt;0.004833595
000440.txt;False;016244.txt;0.03846739
000441.txt;False;043194.txt;0.1215028
000442.txt;False;056188.txt;0.04085436
000443.txt;True;000443.txt;0.03565943
000444.txt;True;000444.txt;0.0
000445.txt;True;000445.txt;0.03917884
000446.txt;True;000446.txt;0.017799014
000447.txt;True;000447.txt;0.027651777
000448.txt;False;012614.txt;0.0
000449.txt;True;000449.txt;0.0
000450.txt;True;000450.txt;0.0
000453.txt;False;005006.txt;0.08722168
000454.txt;False;041915.txt;0.03042542
000455.txt;False;037928.txt;0.07127297
000456.txt;True;000456.txt;0.0
000457.txt;True;000457.txt;0.04723558
000458.txt;False;037959.txt;0.07433131
000459.txt;True;000459.txt;0.0
000461.txt;False;073708.txt;0.039525017
000462.txt;True;000462.txt;0.016216045
000463.txt;True;000463.txt;0.039200164
000464.txt;False;037098.txt;0.060590748
000465.txt;True;000465.txt;0.0
000466.txt;True;000466.txt;0.0
000467.txt;False;067724.txt;0.03171753
000468.txt;False;016850.txt;0.05698991
000469.txt;True;000469.txt;0.022361668
000470.txt;False;033082.txt;0.06240078
000471.txt;False;021866.txt;0.06489915
000472.txt;True;000472.txt;0.0
000473.txt;True;000473.txt;0.03627632
000474.txt;True;000474.txt;0.050348617
000475.txt;False;068940.txt;0.07591753
000476.txt;True;000476.txt;0.0
000477.txt;False;027731.txt;0.044462718
000478.txt;True;000478.txt;0.016650114
000479.txt;True;000479.txt;0.0
000480.txt;False;045062.txt;0.044362523
000481.txt;True;000481.txt;0.0
000482.txt;True;000482.txt;0.0
000483.txt;True;000483.txt;0.034315825
000485.txt;False;013500.txt;0.08321977
000486.txt;False;072575.txt;0.08248162
000487.txt;False;056194.txt;0.092511296
000488.txt;False;078660.txt;0.030473445
000490.txt;False;028305.txt;0.058827434
000491.txt;False;019724.txt;0.021113425
000492.txt;False;029821.txt;0.02142179
000493.txt;True;000493.txt;0.04914726
000494.txt;False;065481.txt;0.046882674
000495.txt;False;003048.txt;0.056082077
000496.txt;False;004702.txt;0.0404094
000497.txt;False;017754.txt;0.06449429
