query_file;found;search_result;search_distances
000000.txt;False;068729.txt;48.885895
000001.txt;False;064005.txt;10.130381
000002.txt;False;042433.txt;16.517035
000003.txt;False;012376.txt;25.747673
000004.txt;False;044701.txt;12.132097
000005.txt;False;078210.txt;26.757505
000006.txt;False;028307.txt;27.671167
000007.txt;False;029226.txt;37.725967
000008.txt;False;041200.txt;30.335634
000009.txt;False;012376.txt;35.855812
000010.txt;False;074429.txt;29.84446
000011.txt;False;031709.txt;22.999756
000012.txt;False;024446.txt;21.631708
000013.txt;False;057942.txt;22.223503
000014.txt;False;018970.txt;39.914513
000015.txt;False;057374.txt;23.833508
000016.txt;False;057374.txt;26.492455
000017.txt;False;042980.txt;14.465851
000018.txt;False;022778.txt;28.894691
000019.txt;False;015385.txt;28.430395
000020.txt;False;062157.txt;13.846202
000021.txt;False;022992.txt;10.503008
000022.txt;False;024446.txt;19.329937
000023.txt;False;007571.txt;25.11582
000024.txt;False;007571.txt;25.371826
000025.txt;False;045783.txt;29.518837
000026.txt;False;002976.txt;10.794943
000027.txt;False;044701.txt;11.14744
000028.txt;False;002976.txt;10.919552
000029.txt;False;002976.txt;10.580412
000030.txt;False;002976.txt;11.166369
000031.txt;False;002976.txt;9.068338
000032.txt;False;024446.txt;25.429
000034.txt;False;020884.txt;7.8849063
000035.txt;False;020884.txt;10.854945
000036.txt;False;076156.txt;5.475235
000037.txt;False;058939.txt;33.323875
000038.txt;False;002976.txt;11.594555
000039.txt;False;024446.txt;20.6368
000040.txt;False;002976.txt;11.272587
000041.txt;False;002976.txt;11.184527
000042.txt;False;002976.txt;11.581287
000043.txt;False;002976.txt;10.936499
000044.txt;False;002976.txt;11.370379
000045.txt;False;057374.txt;27.120445
000046.txt;False;057374.txt;32.382584
000047.txt;False;057374.txt;37.967785
000048.txt;False;000030.txt;41.46119
000049.txt;False;022633.txt;12.78984
000050.txt;False;077846.txt;18.77484
000051.txt;False;002950.txt;21.066477
000052.txt;False;062157.txt;11.400433
000053.txt;False;024446.txt;30.99388
000054.txt;False;077846.txt;14.443585
000055.txt;False;054857.txt;20.591108
000056.txt;False;042433.txt;13.123274
000057.txt;False;077573.txt;31.433369
000058.txt;False;077846.txt;17.426746
000059.txt;False;014585.txt;27.33521
000060.txt;False;032592.txt;24.37622
000061.txt;False;077846.txt;14.652478
000062.txt;False;024446.txt;31.527489
000063.txt;False;018746.txt;42.216286
000064.txt;False;042433.txt;15.212667
000065.txt;False;069142.txt;27.318214
000066.txt;False;077846.txt;20.840149
000067.txt;False;074486.txt;24.241024
