model;source_data;query_data;query_file;NN;found;search_result;search_distances
Bert;/Bert/open/en_cirrussearch;/Bert/open/lv_cirrussearch;000000.txt;1;False;020885.txt;10.628895
Bert;/Bert/open/en_cirrussearch;/Bert/open/lv_cirrussearch;000000.txt;5;False;020885.txt,023774.txt,019537.txt,014598.txt,011867.txt;10.628895,11.407943,11.450945,11.573169,11.9909
Bert;/Bert/open/en_cirrussearch;/Bert/open/lv_cirrussearch;000000.txt;10;False;020885.txt,023774.txt,019537.txt,014598.txt,011867.txt,030293.txt,022525.txt,020341.txt,017266.txt,005355.txt;10.628895,11.407943,11.450945,11.573169,11.9909,12.031563,12.27432,12.301739,12.418826,12.471046
Bert;/Bert/open/en_cirrussearch;/Bert/open/lv_cirrussearch;000001.txt;1;False;021700.txt;19.281773
Bert;/Bert/open/en_cirrussearch;/Bert/open/lv_cirrussearch;000001.txt;5;False;021700.txt,011867.txt,020885.txt,004941.txt,025009.txt;19.281773,19.583574,20.275963,20.410099,20.539001
Bert;/Bert/open/en_cirrussearch;/Bert/open/lv_cirrussearch;000001.txt;10;False;021700.txt,011867.txt,020885.txt,004941.txt,025009.txt,006379.txt,014598.txt,022525.txt,022208.txt,001117.txt;19.281773,19.583574,20.275963,20.410099,20.539001,21.14392,21.269407,21.349695,21.821283,21.938004
Bert;/Bert/source/en_cirrussearch;/Bert/source/lv_cirrussearch;000000.txt;1;False;027972.txt;10.578246
Bert;/Bert/source/en_cirrussearch;/Bert/source/lv_cirrussearch;000000.txt;5;False;027972.txt,012147.txt,023617.txt,009121.txt,026396.txt;10.578246,10.616047,10.765968,11.027954,11.717144
Bert;/Bert/source/en_cirrussearch;/Bert/source/lv_cirrussearch;000000.txt;10;False;027972.txt,012147.txt,023617.txt,009121.txt,026396.txt,016609.txt,026586.txt,030327.txt,023971.txt,025835.txt;10.578246,10.616047,10.765968,11.027954,11.717144,11.744737,11.746405,11.790278,11.791784,11.845234
Bert;/Bert/source/en_cirrussearch;/Bert/source/lv_cirrussearch;000001.txt;1;False;027900.txt;20.24951
Bert;/Bert/source/en_cirrussearch;/Bert/source/lv_cirrussearch;000001.txt;5;False;027900.txt,013386.txt,013179.txt,002822.txt,026631.txt;20.24951,20.375063,22.029835,22.107021,22.22092
Bert;/Bert/source/en_cirrussearch;/Bert/source/lv_cirrussearch;000001.txt;10;False;027900.txt,013386.txt,013179.txt,002822.txt,026631.txt,022617.txt,023999.txt,024519.txt,026679.txt,030271.txt;20.24951,20.375063,22.029835,22.107021,22.22092,22.28983,22.43088,22.574226,22.57433,22.595451
Bert;/Bert/title/en_cirrussearch;/Bert/title/lv_cirrussearch;000000.txt;1;False;001260.txt;43.227318
Bert;/Bert/title/en_cirrussearch;/Bert/title/lv_cirrussearch;000000.txt;5;False;001260.txt,002716.txt,004845.txt,027440.txt,010192.txt;43.227318,43.74756,44.173126,44.355072,46.376846
Bert;/Bert/title/en_cirrussearch;/Bert/title/lv_cirrussearch;000000.txt;10;False;001260.txt,002716.txt,004845.txt,027440.txt,010192.txt,011985.txt,005056.txt,020592.txt,018533.txt,022382.txt;43.227318,43.74756,44.173126,44.355072,46.376846,46.86709,47.436485,47.656998,47.951473,48.201107
Bert;/Bert/title/en_cirrussearch;/Bert/title/lv_cirrussearch;000001.txt;1;True;000001.txt;0.0
Bert;/Bert/title/en_cirrussearch;/Bert/title/lv_cirrussearch;000001.txt;5;True;000001.txt,004338.txt,014461.txt,006443.txt,005607.txt;0.0,13.565576,15.28417,16.448032,18.056326
Bert;/Bert/title/en_cirrussearch;/Bert/title/lv_cirrussearch;000001.txt;10;True;000001.txt,004338.txt,014461.txt,006443.txt,005607.txt,015004.txt,007320.txt,023730.txt,013600.txt,029180.txt;0.0,13.565576,15.28417,16.448032,18.056326,18.24893,19.314545,19.338324,19.602829,19.760191
XLM-RoBERTa;/XLM-RoBERTa/open/en_cirrussearch;/XLM-RoBERTa/open/lv_cirrussearch;000000.txt;1;False;025618.txt;0.45145318
XLM-RoBERTa;/XLM-RoBERTa/open/en_cirrussearch;/XLM-RoBERTa/open/lv_cirrussearch;000000.txt;5;False;025618.txt,026213.txt,024156.txt,004954.txt,010692.txt;0.45145318,0.50082946,0.50250876,0.5250875,0.52942115
XLM-RoBERTa;/XLM-RoBERTa/open/en_cirrussearch;/XLM-RoBERTa/open/lv_cirrussearch;000000.txt;10;False;025618.txt,026213.txt,024156.txt,004954.txt,010692.txt,013558.txt,021325.txt,022999.txt,007740.txt,019909.txt;0.45145318,0.50082946,0.50250876,0.5250875,0.52942115,0.5298209,0.5304509,0.5308616,0.5321996,0.5323155
XLM-RoBERTa;/XLM-RoBERTa/open/en_cirrussearch;/XLM-RoBERTa/open/lv_cirrussearch;000001.txt;1;True;000001.txt;0.4348231
XLM-RoBERTa;/XLM-RoBERTa/open/en_cirrussearch;/XLM-RoBERTa/open/lv_cirrussearch;000001.txt;5;True;000001.txt,008845.txt,020585.txt,022485.txt,008870.txt;0.4348231,0.50881046,0.52048266,0.52559066,0.52882075
XLM-RoBERTa;/XLM-RoBERTa/open/en_cirrussearch;/XLM-RoBERTa/open/lv_cirrussearch;000001.txt;10;True;000001.txt,008845.txt,020585.txt,022485.txt,008870.txt,028392.txt,022615.txt,015624.txt,004152.txt,006425.txt;0.4348231,0.50881046,0.52048266,0.52559066,0.52882075,0.5393303,0.5429137,0.54399437,0.54530525,0.5587437
XLM-RoBERTa;/XLM-RoBERTa/source/en_cirrussearch;/XLM-RoBERTa/source/lv_cirrussearch;000000.txt;1;False;007740.txt;0.46711203
XLM-RoBERTa;/XLM-RoBERTa/source/en_cirrussearch;/XLM-RoBERTa/source/lv_cirrussearch;000000.txt;5;True;007740.txt,026588.txt,000647.txt,000000.txt,022295.txt;0.46711203,0.46834624,0.47842157,0.48971254,0.49746355
XLM-RoBERTa;/XLM-RoBERTa/source/en_cirrussearch;/XLM-RoBERTa/source/lv_cirrussearch;000000.txt;10;True;007740.txt,026588.txt,000647.txt,000000.txt,022295.txt,010328.txt,030275.txt,021587.txt,021392.txt,001354.txt;0.46711203,0.46834624,0.47842157,0.48971254,0.49746355,0.49860623,0.5017494,0.5105895,0.5153261,0.5160707
XLM-RoBERTa;/XLM-RoBERTa/source/en_cirrussearch;/XLM-RoBERTa/source/lv_cirrussearch;000001.txt;1;True;000001.txt;0.61916095
XLM-RoBERTa;/XLM-RoBERTa/source/en_cirrussearch;/XLM-RoBERTa/source/lv_cirrussearch;000001.txt;5;True;000001.txt,008873.txt,019966.txt,004124.txt,008687.txt;0.61916095,0.6431924,0.64683676,0.65416765,0.6625299
XLM-RoBERTa;/XLM-RoBERTa/source/en_cirrussearch;/XLM-RoBERTa/source/lv_cirrussearch;000001.txt;10;True;000001.txt,008873.txt,019966.txt,004124.txt,008687.txt,001709.txt,028740.txt,027449.txt,019114.txt,028922.txt;0.61916095,0.6431924,0.64683676,0.65416765,0.6625299,0.67014956,0.6756482,0.6853901,0.68812037,0.68876183
XLM-RoBERTa;/XLM-RoBERTa/title/en_cirrussearch;/XLM-RoBERTa/title/lv_cirrussearch;000000.txt;1;False;024799.txt;0.10656378
XLM-RoBERTa;/XLM-RoBERTa/title/en_cirrussearch;/XLM-RoBERTa/title/lv_cirrussearch;000000.txt;5;False;024799.txt,011571.txt,022097.txt,019746.txt,003746.txt;0.10656378,0.10886782,0.11283155,0.11659789,0.11663267
XLM-RoBERTa;/XLM-RoBERTa/title/en_cirrussearch;/XLM-RoBERTa/title/lv_cirrussearch;000000.txt;10;False;024799.txt,011571.txt,022097.txt,019746.txt,003746.txt,002136.txt,026806.txt,027304.txt,013269.txt,012377.txt;0.10656378,0.10886782,0.11283155,0.11659789,0.11663267,0.118935116,0.119551465,0.119846895,0.120317474,0.12047213
XLM-RoBERTa;/XLM-RoBERTa/title/en_cirrussearch;/XLM-RoBERTa/title/lv_cirrussearch;000001.txt;1;True;000001.txt;0.0
XLM-RoBERTa;/XLM-RoBERTa/title/en_cirrussearch;/XLM-RoBERTa/title/lv_cirrussearch;000001.txt;5;True;000001.txt,000953.txt,025107.txt,008154.txt,020109.txt;0.0,0.1282201,0.16416568,0.17194271,0.17625809
XLM-RoBERTa;/XLM-RoBERTa/title/en_cirrussearch;/XLM-RoBERTa/title/lv_cirrussearch;000001.txt;10;True;000001.txt,000953.txt,025107.txt,008154.txt,020109.txt,022421.txt,024960.txt,020608.txt,023714.txt,023402.txt;0.0,0.1282201,0.16416568,0.17194271,0.17625809,0.17834339,0.17899984,0.18161622,0.18241446,0.1826427
