id;file_name;lv_title;en_title;lv_link;en_link
0;000000.txt;Astronomija;Astronomy;https://lv.wikipedia.org/wiki/Astronomija;https://en.wikipedia.org/wiki/Astronomy
1;000001.txt;Arheoloģija;Archaeology;https://lv.wikipedia.org/wiki/Arheolo%C4%A3ija;https://en.wikipedia.org/wiki/Archaeology
2;000002.txt;Arhitektūra;Architecture;https://lv.wikipedia.org/wiki/Arhitekt%C5%ABra;https://en.wikipedia.org/wiki/Architecture
3;000003.txt;Aprakstošā statistika;Descriptive statistics;https://lv.wikipedia.org/wiki/Apraksto%C5%A1%C4%81_statistika;https://en.wikipedia.org/wiki/Descriptive_statistics
4;000004.txt;Asimetrijas koeficients;Skewness;https://lv.wikipedia.org/wiki/Asimetrijas_koeficients;https://en.wikipedia.org/wiki/Skewness
5;000005.txt;Astrofizika;Astrophysics;https://lv.wikipedia.org/wiki/Astrofizika;https://en.wikipedia.org/wiki/Astrophysics
6;000006.txt;Blūza skaņkārta;Blues scale;https://lv.wikipedia.org/wiki/Bl%C5%ABza_ska%C5%86k%C4%81rta;https://en.wikipedia.org/wiki/Blues_scale
7;000007.txt;Hī kvadrāta kritērijs;Chi-squared test;https://lv.wikipedia.org/wiki/H%C4%AB_kvadr%C4%81ta_krit%C4%93rijs;https://en.wikipedia.org/wiki/Chi-squared_test
8;000008.txt;Dispersiju analīze;Analysis of variance;https://lv.wikipedia.org/wiki/Dispersiju_anal%C4%ABze;https://en.wikipedia.org/wiki/Analysis_of_variance
9;000009.txt;Dispersija (statistika);Statistical dispersion;https://lv.wikipedia.org/wiki/Dispersija_(statistika);https://en.wikipedia.org/wiki/Statistical_dispersion
10;000010.txt;Dators;Computer;https://lv.wikipedia.org/wiki/Dators;https://en.wikipedia.org/wiki/Computer
11;000011.txt;Ekscesa koeficients;Excess kurtosis;https://lv.wikipedia.org/wiki/Ekscesa_koeficients;https://en.wikipedia.org/wiki/Excess_kurtosis
12;000012.txt;Eiropas Savienība;European Union;https://lv.wikipedia.org/wiki/Eiropas_Savien%C4%ABba;https://en.wikipedia.org/wiki/European_Union
13;000013.txt;Ekonomika;Economics;https://lv.wikipedia.org/wiki/Ekonomika;https://en.wikipedia.org/wiki/Economics
14;000014.txt;Fizika;Physics;https://lv.wikipedia.org/wiki/Fizika;https://en.wikipedia.org/wiki/Physics
