query_file;found;search_result;search_distances
000000.txt;False;068533.txt;0.43841308
000001.txt;False;033138.txt;0.5965214
000002.txt;False;061556.txt;0.43224806
000003.txt;False;002086.txt;0.34353757
000004.txt;False;044099.txt;0.3543124
000005.txt;False;023334.txt;0.25755173
000006.txt;False;030653.txt;0.36094725
000007.txt;False;016827.txt;0.28843436
000008.txt;False;005334.txt;0.38291478
000009.txt;False;037595.txt;0.33263946
000010.txt;False;037676.txt;0.29349118
000011.txt;False;076482.txt;0.43201625
000012.txt;False;075907.txt;0.32134935
000013.txt;False;076766.txt;0.30500275
000014.txt;False;078003.txt;0.5073704
000015.txt;False;072700.txt;0.66347516
000016.txt;False;037676.txt;0.32649064
000017.txt;False;075608.txt;0.42450088
000018.txt;False;072653.txt;0.39284933
000019.txt;False;037466.txt;0.27545494
000020.txt;False;010327.txt;0.352991
000021.txt;False;072796.txt;0.2640293
000022.txt;False;039058.txt;0.34302098
000023.txt;False;039058.txt;0.366978
000024.txt;False;078368.txt;0.24072735
000025.txt;False;039058.txt;0.40774214
000026.txt;False;041694.txt;0.2630614
000027.txt;False;039058.txt;0.37342155
000028.txt;False;039058.txt;0.32739645
000029.txt;False;039058.txt;0.3363627
000030.txt;False;054029.txt;0.3363673
000031.txt;False;039058.txt;0.37977406
000032.txt;False;075949.txt;0.31189656
000034.txt;False;035244.txt;0.2632994
000035.txt;False;007323.txt;0.2902591
000036.txt;False;005331.txt;0.29721868
000037.txt;False;039058.txt;0.34305924
000038.txt;False;039058.txt;0.32833558
000039.txt;False;039058.txt;0.33542818
000040.txt;False;039058.txt;0.3392896
000041.txt;False;039058.txt;0.35621834
000042.txt;False;039058.txt;0.32154626
000043.txt;False;039058.txt;0.32744813
000044.txt;False;076482.txt;0.39393836
000045.txt;False;010304.txt;0.33044463
000046.txt;False;035122.txt;0.69877726
000047.txt;False;014220.txt;0.46414784
000048.txt;False;031247.txt;0.26784542
000049.txt;False;045711.txt;0.3139699
000050.txt;False;045711.txt;0.3749219
000051.txt;False;072639.txt;0.34837225
000052.txt;False;039892.txt;0.41347915
000053.txt;False;015672.txt;0.2833625
000054.txt;False;032125.txt;0.3134693
000055.txt;False;075086.txt;0.5297631
000056.txt;False;045711.txt;0.35723045
000057.txt;False;039562.txt;0.34191388
000058.txt;False;034714.txt;0.30807933
000059.txt;False;075360.txt;0.39676937
000060.txt;False;015672.txt;0.36267954
000061.txt;False;026280.txt;0.46994185
000062.txt;False;018042.txt;0.33512366
000063.txt;True;000063.txt;0.46232545
000064.txt;False;035543.txt;0.30455256
000065.txt;True;000065.txt;0.33382973
000066.txt;False;021391.txt;0.29592514
000067.txt;False;004724.txt;0.27336127
000068.txt;False;026424.txt;0.40292448
000069.txt;False;029854.txt;0.33112228
000070.txt;False;042124.txt;0.27622747
000071.txt;False;005334.txt;0.34628224
000072.txt;False;050774.txt;0.21913719
000073.txt;False;011705.txt;0.27063322
000074.txt;False;008324.txt;0.4291094
000075.txt;False;004724.txt;0.20636335
000076.txt;False;072690.txt;0.3269389
000077.txt;False;042469.txt;0.32424226
000078.txt;False;010327.txt;0.33608076
000079.txt;False;016827.txt;0.29915065
000080.txt;False;039562.txt;0.2950614
000081.txt;False;039562.txt;0.2798817
000082.txt;False;042932.txt;0.31343523
000083.txt;False;035244.txt;0.30944198
000084.txt;False;009416.txt;0.41800278
000085.txt;False;045681.txt;0.3675682
000086.txt;False;010693.txt;0.26537395
000087.txt;False;016270.txt;0.29483026
000088.txt;False;002798.txt;0.36085367
000089.txt;False;012420.txt;0.41772762
000090.txt;False;041348.txt;0.3415077
000091.txt;False;010095.txt;0.32140696
000092.txt;False;004180.txt;0.24299529
000093.txt;False;071303.txt;0.5150329
000094.txt;False;016827.txt;0.29362822
000095.txt;False;003054.txt;0.30159244
000096.txt;False;068018.txt;0.3937217
