query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.06604947
000001.txt;False;027214.txt;0.21552888
000002.txt;False;050008.txt;0.18368234
000003.txt;False;076693.txt;0.20483136
000004.txt;False;037698.txt;0.22936179
000005.txt;False;078876.txt;0.18578632
000006.txt;False;030652.txt;0.1838824
000007.txt;False;025953.txt;0.1744842
000008.txt;False;036231.txt;0.122646764
000009.txt;False;006473.txt;0.26640025
000010.txt;False;049951.txt;0.17264797
000011.txt;False;001403.txt;0.14097121
000012.txt;True;000012.txt;0.13966146
000013.txt;False;007426.txt;0.21875131
000014.txt;False;040097.txt;0.16655579
000015.txt;False;040628.txt;0.21676578
000016.txt;False;020981.txt;0.21059516
000017.txt;False;016107.txt;0.22016598
000018.txt;True;000018.txt;0.17004704
000019.txt;False;011725.txt;0.12003921
000020.txt;False;068404.txt;0.18671484
000021.txt;True;000021.txt;0.12720898
000022.txt;True;000022.txt;0.10914834
000023.txt;False;002523.txt;0.14959863
000024.txt;False;058403.txt;0.155615
000025.txt;True;000025.txt;0.111653745
000026.txt;True;000026.txt;0.12236114
000027.txt;True;000027.txt;0.11418581
000028.txt;True;000028.txt;0.12357928
000029.txt;True;000029.txt;0.12013914
000030.txt;False;012604.txt;0.13339086
000031.txt;True;000031.txt;0.172033
000032.txt;False;031139.txt;0.23304945
000034.txt;True;000034.txt;0.09188225
000035.txt;False;011347.txt;0.19390185
000036.txt;False;033148.txt;0.16292024
000037.txt;True;000037.txt;0.1434769
000038.txt;True;000038.txt;0.12427966
000039.txt;True;000039.txt;0.12584466
000040.txt;True;000040.txt;0.1267506
000041.txt;True;000041.txt;0.112692334
000042.txt;True;000042.txt;0.113026276
000043.txt;True;000043.txt;0.111942634
000044.txt;False;000236.txt;0.17650598
000045.txt;True;000045.txt;0.18805648
000046.txt;False;000127.txt;0.14271301
000047.txt;False;000187.txt;0.1711601
000048.txt;False;005037.txt;0.17752647
000049.txt;False;004073.txt;0.20768468
000050.txt;False;002950.txt;0.1529611
000051.txt;False;001403.txt;0.17786106
000052.txt;False;000189.txt;0.16051888
000053.txt;False;072367.txt;0.1647542
000054.txt;False;056227.txt;0.21097647
000055.txt;False;042868.txt;0.16591036
000056.txt;False;056804.txt;0.16358641
000057.txt;False;056804.txt;0.16341278
000058.txt;True;000058.txt;0.07543929
000059.txt;False;019235.txt;0.15153915
000060.txt;False;004089.txt;0.17475837
000061.txt;False;021281.txt;0.18460414
000062.txt;True;000062.txt;0.13008548
000063.txt;False;008820.txt;0.21181652
000064.txt;False;000058.txt;0.18270993
000065.txt;False;077769.txt;0.18716994
000066.txt;False;028887.txt;0.17892215
000067.txt;True;000067.txt;0.17317177
000068.txt;True;000068.txt;0.11425032
000069.txt;True;000069.txt;0.13142699
000070.txt;False;042386.txt;0.22239202
000071.txt;False;026475.txt;0.1740996
000072.txt;True;000072.txt;0.17830059
000073.txt;True;000073.txt;0.13302137
000074.txt;False;023354.txt;0.20627469
000075.txt;False;078688.txt;0.21417849
000076.txt;False;030298.txt;0.2038287
000077.txt;True;000077.txt;0.19309086
000078.txt;False;061534.txt;0.19349623
000079.txt;False;027189.txt;0.1523152
000080.txt;False;055839.txt;0.17923121
000081.txt;False;021985.txt;0.21208775
000082.txt;False;005658.txt;0.17931005
000083.txt;False;005701.txt;0.15978862
000084.txt;False;073779.txt;0.2041547
000085.txt;False;020518.txt;0.22122723
000086.txt;False;005936.txt;0.18207765
000087.txt;False;076392.txt;0.17190917
000088.txt;False;052221.txt;0.17432779
000089.txt;False;056888.txt;0.19248497
000090.txt;False;064546.txt;0.19088027
000091.txt;False;052659.txt;0.13463679
000092.txt;False;007363.txt;0.17772633
000093.txt;False;016032.txt;0.19809262
000094.txt;False;072527.txt;0.1346412
000095.txt;False;027901.txt;0.16947824
000096.txt;True;000096.txt;0.12048079
000097.txt;False;026767.txt;0.15747193
000098.txt;True;000098.txt;0.13433549
000099.txt;False;040740.txt;0.16470078
000100.txt;False;056597.txt;0.19520769
000101.txt;False;021667.txt;0.25802183
000102.txt;False;057554.txt;0.18169367
000103.txt;False;053299.txt;0.16520911
000104.txt;False;061682.txt;0.20652628
000105.txt;False;006253.txt;0.20865215
000106.txt;False;041336.txt;0.21252969
000107.txt;False;021291.txt;0.20672639
000108.txt;True;000108.txt;0.12314801
000109.txt;True;000109.txt;0.118164495
000110.txt;False;072831.txt;0.19796012
000111.txt;False;032837.txt;0.24074921
000112.txt;False;056028.txt;0.16870205
000113.txt;False;043286.txt;0.14659838
000114.txt;False;013837.txt;0.19094652
000115.txt;False;038778.txt;0.17637372
000116.txt;False;051321.txt;0.16915935
000117.txt;False;041811.txt;0.22535622
000118.txt;False;008444.txt;0.27335188
000119.txt;False;074669.txt;0.1703612
000120.txt;True;000120.txt;0.17854583
000121.txt;True;000121.txt;0.17208911
000122.txt;False;046291.txt;0.15296102
000123.txt;False;012115.txt;0.1936691
000124.txt;False;006169.txt;0.1759699
000126.txt;False;015723.txt;0.17049202
000127.txt;False;000188.txt;0.17190637
000128.txt;True;000128.txt;0.1735591
000129.txt;False;056535.txt;0.13248467
000130.txt;False;000236.txt;0.19962841
000131.txt;False;000236.txt;0.19578025
000132.txt;False;000236.txt;0.19416092
000133.txt;False;042407.txt;0.20068778
000134.txt;False;028273.txt;0.1393386
000135.txt;False;072813.txt;0.2101648
000136.txt;False;028599.txt;0.21517855
000137.txt;False;030488.txt;0.18147051
000138.txt;False;015051.txt;0.19447066
000139.txt;False;022108.txt;0.17135276
000140.txt;False;013756.txt;0.20252392
000141.txt;False;030175.txt;0.21100914
000142.txt;False;051321.txt;0.17633635
000143.txt;False;056415.txt;0.20209894
000144.txt;True;000144.txt;0.20492598
000145.txt;False;057554.txt;0.16219023
000146.txt;False;010219.txt;0.14880246
000147.txt;False;008473.txt;0.1506416
000148.txt;False;037249.txt;0.17983982
000149.txt;False;073200.txt;0.14960828
000150.txt;False;069917.txt;0.21657063
000151.txt;False;070044.txt;0.1345388
000152.txt;False;030896.txt;0.21492992
000153.txt;True;000153.txt;0.09243546
000154.txt;False;019593.txt;0.1548937
000155.txt;False;026881.txt;0.12801677
000156.txt;False;036103.txt;0.19642612
000157.txt;False;003043.txt;0.2381241
000158.txt;True;000158.txt;0.17910525
000159.txt;False;078785.txt;0.19164494
000160.txt;True;000160.txt;0.14890014
000161.txt;True;000161.txt;0.17807597
000162.txt;False;040164.txt;0.17192584
000163.txt;True;000163.txt;0.1972081
000164.txt;False;028710.txt;0.20850874
000165.txt;False;043990.txt;0.16938695
000166.txt;False;043792.txt;0.23411615
000167.txt;False;021617.txt;0.18551102
000168.txt;False;046073.txt;0.15608631
000169.txt;False;057554.txt;0.16752642
000170.txt;False;007079.txt;0.22820258
000171.txt;True;000171.txt;0.16746174
000172.txt;False;040926.txt;0.1511797
000173.txt;False;030634.txt;0.21466531
000174.txt;False;078468.txt;0.1444943
000175.txt;False;024865.txt;0.12890139
000176.txt;False;000792.txt;0.19318193
000177.txt;True;000177.txt;0.14763075
000178.txt;False;065487.txt;0.24550262
000179.txt;False;061573.txt;0.18552689
000180.txt;False;019593.txt;0.19116527
000181.txt;False;000183.txt;0.17114508
000182.txt;False;003043.txt;0.16596496
000183.txt;True;000183.txt;0.1407758
000184.txt;False;043287.txt;0.19730254
000185.txt;False;003043.txt;0.18255255
000186.txt;False;078380.txt;0.17682919
000187.txt;True;000187.txt;0.1473649
000188.txt;True;000188.txt;0.16217189
000189.txt;False;000236.txt;0.16228902
000190.txt;False;000236.txt;0.19331384
000191.txt;True;000191.txt;0.15231541
000192.txt;False;019221.txt;0.15299043
000193.txt;False;049769.txt;0.19088706
000194.txt;False;032644.txt;0.17517531
000195.txt;True;000195.txt;0.14646406
000196.txt;False;017135.txt;0.16878912
000197.txt;False;063342.txt;0.18021074
000198.txt;False;035579.txt;0.19673629
000199.txt;True;000199.txt;0.110000595
000200.txt;False;032788.txt;0.23226303
000201.txt;False;076333.txt;0.12995781
000202.txt;False;028432.txt;0.1980331
000203.txt;True;000203.txt;0.18857338
000204.txt;False;078785.txt;0.15303922
000205.txt;False;078784.txt;0.14604542
000206.txt;False;075464.txt;0.18747483
000207.txt;True;000207.txt;0.094452426
000208.txt;False;013141.txt;0.12733594
000209.txt;False;030488.txt;0.17591527
000210.txt;False;027811.txt;0.20492989
000211.txt;False;068516.txt;0.1790776
000212.txt;False;006007.txt;0.21263961
000213.txt;False;057911.txt;0.17577189
000214.txt;True;000214.txt;0.12174745
000215.txt;False;073348.txt;0.12900737
000216.txt;False;046249.txt;0.1672877
000217.txt;False;000214.txt;0.20244403
000219.txt;False;008834.txt;0.16780978
000220.txt;False;021793.txt;0.15355383
000221.txt;True;000221.txt;0.14956461
000222.txt;True;000222.txt;0.13918886
000223.txt;False;021475.txt;0.27093685
000224.txt;False;046351.txt;0.1978536
000225.txt;False;059392.txt;0.16728269
000226.txt;True;000226.txt;0.07270788
000227.txt;True;000227.txt;0.20865807
000228.txt;False;012240.txt;0.20543477
000229.txt;False;003440.txt;0.13790697
000230.txt;False;074266.txt;0.14025235
000231.txt;False;060442.txt;0.21959567
000232.txt;False;050267.txt;0.2098212
000233.txt;False;077174.txt;0.11619522
000234.txt;False;006142.txt;0.12517807
000235.txt;False;032883.txt;0.20491591
000236.txt;True;000236.txt;0.14528587
000237.txt;False;023217.txt;0.2012565
000238.txt;False;000067.txt;0.20398223
000239.txt;False;074701.txt;0.14649962
000240.txt;False;013897.txt;0.24461463
000241.txt;False;005946.txt;0.19130796
000242.txt;False;069536.txt;0.14525872
000243.txt;False;064159.txt;0.1943765
000244.txt;False;056600.txt;0.17063051
000245.txt;False;035157.txt;0.1789776
000246.txt;True;000246.txt;0.10368541
000247.txt;False;029953.txt;0.22690338
000248.txt;False;073503.txt;0.18277298
000249.txt;False;058923.txt;0.1633856
000250.txt;False;008822.txt;0.28660208
000251.txt;False;073234.txt;0.17347735
000252.txt;False;013355.txt;0.17032206
000253.txt;True;000253.txt;0.13479125
000254.txt;False;053151.txt;0.1391345
000255.txt;True;000255.txt;0.11278929
000256.txt;False;009464.txt;0.17491414
000257.txt;False;072318.txt;0.2835361
000258.txt;False;025227.txt;0.24840724
000259.txt;True;000259.txt;0.17244768
000260.txt;False;078811.txt;0.17340778
000261.txt;True;000261.txt;0.18277627
000262.txt;False;051042.txt;0.16701025
000263.txt;False;058148.txt;0.22138765
000264.txt;False;064185.txt;0.17275342
000265.txt;False;000371.txt;0.16235453
000266.txt;False;056558.txt;0.2017981
000267.txt;False;013007.txt;0.15035936
000268.txt;False;050646.txt;0.17902023
000269.txt;False;006464.txt;0.26178515
000270.txt;False;006473.txt;0.26454496
000271.txt;False;000236.txt;0.18120824
000272.txt;False;000236.txt;0.18236431
000273.txt;False;062332.txt;0.17181407
000274.txt;False;000236.txt;0.163613
000275.txt;True;000275.txt;0.10445503
000276.txt;False;068152.txt;0.11201579
000277.txt;False;012865.txt;0.17294855
000278.txt;False;000236.txt;0.1744875
000279.txt;False;015723.txt;0.16778085
000280.txt;True;000280.txt;0.16929227
000281.txt;False;000188.txt;0.18903647
000282.txt;False;009014.txt;0.17947644
000283.txt;False;071576.txt;0.15384658
000284.txt;False;078811.txt;0.19111052
000285.txt;False;058278.txt;0.18034229
000286.txt;False;000236.txt;0.17980391
000287.txt;False;000236.txt;0.18203585
000288.txt;False;000290.txt;0.21565539
000289.txt;False;000290.txt;0.17567559
000290.txt;False;014445.txt;0.19053659
000291.txt;False;076226.txt;0.17780414
000292.txt;False;013262.txt;0.18471578
000293.txt;False;024252.txt;0.17176622
000294.txt;False;063748.txt;0.17869343
000295.txt;False;000243.txt;0.13474287
000296.txt;False;034376.txt;0.1724211
000297.txt;False;075282.txt;0.19534013
000298.txt;True;000298.txt;0.17287931
000299.txt;False;016752.txt;0.17087463
000300.txt;False;000236.txt;0.17781654
000301.txt;False;000371.txt;0.15365845
000302.txt;False;001517.txt;0.15576497
000303.txt;False;012503.txt;0.22262385
000304.txt;False;068220.txt;0.1937201
000305.txt;False;020591.txt;0.2507388
000306.txt;False;007082.txt;0.14114216
000308.txt;False;036144.txt;0.2271254
000309.txt;False;035250.txt;0.11699236
000310.txt;False;043748.txt;0.17195448
000311.txt;False;001177.txt;0.17430773
000312.txt;True;000312.txt;0.16718622
000313.txt;False;000371.txt;0.1605644
000314.txt;False;053969.txt;0.1994829
