query_file;found;search_result;search_distances
000000.txt;False;042895.txt;41.556103
000001.txt;True;000001.txt;0.0
000002.txt;False;056288.txt;12.670024
000003.txt;False;075086.txt;7.3025618
000004.txt;False;077363.txt;18.87603
000005.txt;False;009754.txt;43.891052
000006.txt;False;009754.txt;42.01857
000007.txt;False;021176.txt;19.2473
000008.txt;False;021336.txt;10.797371
000009.txt;False;044049.txt;17.652222
000010.txt;False;009754.txt;62.37938
000011.txt;False;004333.txt;25.74273
000012.txt;True;000012.txt;12.975779
000013.txt;False;015209.txt;13.525887
000014.txt;False;012350.txt;19.273594
000015.txt;True;000015.txt;27.110928
000016.txt;False;039915.txt;27.519524
000017.txt;False;012100.txt;15.120323
000018.txt;False;046979.txt;19.789158
000019.txt;False;004333.txt;24.430117
000020.txt;False;074841.txt;15.041539
000021.txt;False;004333.txt;27.060118
000022.txt;False;004333.txt;27.954586
000023.txt;False;004333.txt;25.704124
000024.txt;False;004333.txt;24.820574
000025.txt;False;004333.txt;26.043968
000026.txt;False;025195.txt;17.62055
000027.txt;False;004333.txt;26.771
000028.txt;False;004333.txt;28.159008
000029.txt;False;004333.txt;27.732088
000030.txt;False;004333.txt;20.515156
000031.txt;False;004333.txt;19.388458
000032.txt;False;028835.txt;15.16537
000034.txt;False;014257.txt;17.986408
000035.txt;False;056410.txt;14.03771
000036.txt;False;052430.txt;16.25394
000037.txt;False;004333.txt;27.417133
000038.txt;False;016443.txt;29.850525
000039.txt;False;004333.txt;28.414656
000040.txt;False;016597.txt;29.992527
000041.txt;False;016865.txt;30.052221
000042.txt;False;016865.txt;29.7906
000043.txt;False;051374.txt;36.25428
000044.txt;False;004333.txt;17.761131
000045.txt;False;004333.txt;20.071903
000046.txt;False;004333.txt;25.744047
000047.txt;False;004333.txt;18.310339
000048.txt;True;000048.txt;0.0
000049.txt;False;021557.txt;18.704956
000050.txt;False;020263.txt;24.328693
000051.txt;False;004333.txt;29.665672
000052.txt;False;004333.txt;19.387459
000053.txt;False;042249.txt;15.065223
000054.txt;False;016512.txt;16.270638
000055.txt;False;037400.txt;31.256966
000056.txt;False;029055.txt;12.97287
000057.txt;True;000057.txt;13.58652
000058.txt;False;029055.txt;14.19491
000059.txt;False;067949.txt;16.7075
000060.txt;False;056288.txt;14.296896
000061.txt;False;051374.txt;25.282074
000062.txt;False;041392.txt;16.271862
000063.txt;False;014257.txt;16.11245
000064.txt;False;053893.txt;13.100947
000065.txt;False;020263.txt;27.79783
000066.txt;True;000066.txt;0.0
000067.txt;False;013688.txt;6.7894917
000068.txt;False;076938.txt;21.310852
000069.txt;False;009941.txt;23.003857
000070.txt;False;053892.txt;13.12637
000071.txt;False;055306.txt;19.747747
000072.txt;True;000072.txt;0.0
000073.txt;False;042822.txt;8.582163
000074.txt;False;077690.txt;23.448116
000075.txt;False;015690.txt;6.8186016
000076.txt;False;022690.txt;11.002958
000077.txt;False;052340.txt;39.539326
000078.txt;False;035346.txt;19.875431
000079.txt;False;029610.txt;17.921219
000080.txt;False;017201.txt;33.104797
000081.txt;False;004118.txt;12.838455
000082.txt;False;029055.txt;11.732401
000083.txt;False;074841.txt;14.22589
000084.txt;False;023123.txt;10.176847
000085.txt;False;066530.txt;9.980429
000086.txt;False;075086.txt;7.3210006
000087.txt;False;028757.txt;35.763573
000088.txt;False;015803.txt;23.146801
000089.txt;False;007203.txt;54.81564
000090.txt;False;063120.txt;23.889292
000091.txt;False;001587.txt;10.84791
000092.txt;False;038751.txt;14.237891
000093.txt;False;076361.txt;8.9706955
000094.txt;False;076395.txt;16.033978
000095.txt;False;071788.txt;18.347
000096.txt;False;078812.txt;37.793293
000097.txt;False;029610.txt;10.599007
000098.txt;False;018291.txt;8.459525
000099.txt;False;009637.txt;14.536037
000100.txt;False;028752.txt;14.204752
000101.txt;True;000101.txt;58.715733
000102.txt;False;016226.txt;39.603775
000103.txt;False;068923.txt;47.079594
000104.txt;False;064332.txt;32.722763
000105.txt;False;013935.txt;10.888499
000106.txt;False;006722.txt;10.499815
000107.txt;False;035087.txt;9.539621
000108.txt;False;016865.txt;31.205816
000109.txt;False;016597.txt;35.434067
000110.txt;True;000110.txt;13.977512
000111.txt;False;014380.txt;12.188884
000112.txt;False;047453.txt;36.784443
000113.txt;False;011333.txt;9.588733
000114.txt;False;027918.txt;12.953539
000115.txt;True;000115.txt;0.0
000116.txt;False;028757.txt;42.267555
000117.txt;False;012154.txt;29.787052
000118.txt;True;000118.txt;0.0
000119.txt;False;041576.txt;22.027817
000120.txt;True;000120.txt;11.992982
000121.txt;True;000121.txt;0.0
000122.txt;False;015542.txt;11.098627
000123.txt;True;000123.txt;0.0
000124.txt;True;000124.txt;0.0
000126.txt;False;004333.txt;23.05543
000127.txt;False;004333.txt;20.517971
000128.txt;False;004333.txt;40.240196
000129.txt;False;021384.txt;37.85566
000130.txt;False;004333.txt;25.355907
000131.txt;False;004333.txt;26.627695
000132.txt;False;004333.txt;30.076355
000133.txt;False;004333.txt;27.34265
000134.txt;False;057896.txt;11.004331
000135.txt;False;024877.txt;18.655687
000136.txt;False;008584.txt;87.37323
000137.txt;False;050771.txt;23.249195
000138.txt;False;039922.txt;9.928617
000139.txt;False;000433.txt;18.717829
000140.txt;True;000140.txt;0.0
000141.txt;True;000141.txt;12.576441
000142.txt;False;077559.txt;38.265583
000143.txt;False;022737.txt;17.34573
000144.txt;False;040042.txt;16.368477
000145.txt;False;003899.txt;51.715878
000146.txt;False;071393.txt;13.268921
000147.txt;False;010134.txt;9.020916
000148.txt;False;017084.txt;25.350407
000149.txt;False;009754.txt;10.975709
000150.txt;False;007237.txt;17.930164
000151.txt;False;076974.txt;18.88573
000152.txt;False;006573.txt;14.60253
000153.txt;True;000153.txt;0.0
000154.txt;False;003899.txt;43.76152
000155.txt;False;076084.txt;15.291662
000156.txt;True;000156.txt;22.250202
000157.txt;False;051374.txt;19.700777
000158.txt;False;020760.txt;23.762772
000159.txt;False;038932.txt;24.880445
000160.txt;False;028642.txt;17.45061
000161.txt;False;043811.txt;13.583779
000162.txt;False;072456.txt;14.717635
000163.txt;False;044188.txt;19.7316
000164.txt;True;000164.txt;0.0
000165.txt;True;000165.txt;0.0
000166.txt;True;000166.txt;0.0
000167.txt;False;038890.txt;8.982585
000168.txt;False;041576.txt;13.944239
000169.txt;False;028757.txt;44.02044
000170.txt;False;061755.txt;27.938639
000171.txt;False;007153.txt;18.688656
000172.txt;False;065118.txt;37.862396
000173.txt;False;020591.txt;22.034416
000174.txt;True;000174.txt;0.0
000175.txt;False;027907.txt;13.744116
