query_file;found;search_result;search_distances
000000.txt;False;007926.txt;0.103700325
000001.txt;True;000001.txt;0.0
000002.txt;False;075635.txt;1.151668
000003.txt;False;075086.txt;0.12574828
000004.txt;False;077363.txt;0.33233336
000005.txt;False;015802.txt;0.30303538
000006.txt;False;015802.txt;0.28854275
000007.txt;False;071035.txt;0.15595067
000008.txt;False;076654.txt;0.20592687
000009.txt;False;004117.txt;0.5442759
000010.txt;False;009754.txt;0.15369858
000011.txt;False;009754.txt;0.15628281
000012.txt;False;074766.txt;0.1663681
000013.txt;True;000013.txt;0.16906095
000014.txt;False;047679.txt;0.4792337
000015.txt;False;016698.txt;0.21051382
000016.txt;False;057926.txt;0.51455986
000017.txt;False;067751.txt;0.17129703
000018.txt;False;008317.txt;0.17427666
000019.txt;False;075527.txt;0.16518542
000020.txt;False;028990.txt;0.15772064
000021.txt;False;015267.txt;0.18693957
000022.txt;False;077552.txt;0.17711678
000023.txt;False;050485.txt;0.16669461
000024.txt;False;050485.txt;0.17195465
000025.txt;False;075527.txt;0.17297179
000026.txt;False;008606.txt;0.25482112
000027.txt;False;052333.txt;0.17525852
000028.txt;False;015267.txt;0.17868367
000029.txt;False;035651.txt;0.17512468
000030.txt;False;063283.txt;0.16344428
000031.txt;False;052014.txt;0.17459781
000032.txt;False;008844.txt;0.06708018
000034.txt;False;012178.txt;0.13801524
000035.txt;False;009523.txt;0.17273115
000036.txt;False;031520.txt;0.2861713
000037.txt;False;035651.txt;0.17121193
000038.txt;False;032099.txt;0.2449957
000039.txt;False;011851.txt;0.23213476
000040.txt;False;032099.txt;0.23268196
000041.txt;False;042279.txt;0.26699942
000042.txt;False;032099.txt;0.2529864
000043.txt;False;032099.txt;0.26005733
000044.txt;False;015267.txt;0.1596024
000045.txt;False;004333.txt;0.14916247
000046.txt;False;009754.txt;0.14654854
000047.txt;False;004333.txt;0.14017618
000048.txt;True;000048.txt;0.0
000049.txt;False;054569.txt;0.640256
000050.txt;False;076413.txt;0.26354152
000051.txt;False;000064.txt;0.17292921
000052.txt;False;009754.txt;0.17761362
000053.txt;False;035562.txt;0.4238159
000054.txt;False;002878.txt;0.22397119
000055.txt;False;046642.txt;0.06700633
000056.txt;False;042227.txt;0.7326074
000057.txt;False;076086.txt;0.46616223
