query_file;found;search_result;search_distances
000000.txt;False;027971.txt;10.578251
000001.txt;False;033387.txt;16.468416
000002.txt;False;006681.txt;19.54454
000003.txt;False;002118.txt;6.560699
000004.txt;False;029919.txt;26.102308
000005.txt;False;059437.txt;15.631715
000006.txt;False;058738.txt;25.889584
000007.txt;False;009120.txt;12.035139
000008.txt;False;009120.txt;5.5111876
000009.txt;False;009120.txt;23.967892
000010.txt;False;005644.txt;4.5046096
000011.txt;False;056567.txt;14.851158
000012.txt;False;029282.txt;15.037031
000013.txt;False;008800.txt;29.163342
000014.txt;False;016256.txt;21.86942
000015.txt;False;078605.txt;27.658321
000016.txt;False;005644.txt;23.986752
000017.txt;False;005644.txt;6.3894544
000018.txt;False;045837.txt;17.1272
000019.txt;False;005644.txt;10.853872
000020.txt;False;027971.txt;8.034096
000021.txt;False;078604.txt;21.80412
000022.txt;False;010563.txt;16.71333
000023.txt;False;010563.txt;18.44873
000024.txt;False;005644.txt;4.9686728
000025.txt;False;010563.txt;18.631998
000026.txt;False;027971.txt;12.078284
000027.txt;False;010563.txt;17.90192
000028.txt;False;010563.txt;18.195915
000029.txt;False;010563.txt;18.358173
000030.txt;False;005644.txt;10.434588
000031.txt;False;017983.txt;17.89896
000032.txt;False;009120.txt;9.7942295
000034.txt;False;067724.txt;9.6372595
000035.txt;False;031216.txt;8.325954
000036.txt;False;012156.txt;19.540222
000037.txt;False;028956.txt;14.72003
000038.txt;False;028956.txt;15.480582
000039.txt;False;010563.txt;14.954451
000040.txt;False;010563.txt;18.031483
000041.txt;False;010563.txt;14.673363
000042.txt;False;010563.txt;18.105167
000043.txt;False;010563.txt;15.279978
000044.txt;False;005644.txt;16.182484
000045.txt;False;029282.txt;20.477217
000046.txt;False;014725.txt;56.562027
000047.txt;False;007430.txt;22.330025
000048.txt;False;020629.txt;12.6068
000049.txt;False;009120.txt;5.3753014
000050.txt;False;027971.txt;14.588066
000051.txt;False;017983.txt;16.802038
000052.txt;False;050627.txt;26.71149
000053.txt;False;063878.txt;28.441196
000054.txt;False;066112.txt;13.976301
000055.txt;False;066014.txt;16.054136
000056.txt;False;009120.txt;8.217596
000057.txt;False;012146.txt;7.3308835
000058.txt;False;009120.txt;7.054101
000059.txt;False;002730.txt;14.844343
