query_file;found;search_result;search_distances
000000.txt;False;023933.txt;0.27954796
000001.txt;False;025617.txt;0.4514532
000002.txt;False;000001.txt;0.43482375
000003.txt;False;031187.txt;0.47478843
000004.txt;False;023142.txt;0.44608432
000005.txt;False;004953.txt;0.39290857
000006.txt;False;004991.txt;0.31569397
000007.txt;False;007571.txt;0.3759609
000008.txt;False;021391.txt;0.33817858
000009.txt;False;078933.txt;0.33551207
000010.txt;False;000967.txt;0.82920325
000011.txt;False;007249.txt;0.28861696
000012.txt;False;056100.txt;0.36019295
000013.txt;False;076817.txt;0.30923283
000014.txt;False;076436.txt;0.5568899
000015.txt;False;021724.txt;0.74216545
000016.txt;False;015336.txt;0.5620429
000017.txt;False;078855.txt;0.43064016
000018.txt;False;040289.txt;0.46041775
000019.txt;False;032370.txt;0.6282143
000020.txt;False;014101.txt;0.30933756
000021.txt;False;078698.txt;0.4580999
000022.txt;False;007571.txt;0.30567136
000023.txt;False;007571.txt;0.33276063
000024.txt;False;007571.txt;0.3210643
000025.txt;False;007571.txt;0.32511926
000026.txt;False;056100.txt;0.350479
000027.txt;False;004565.txt;0.32646197
000028.txt;False;056100.txt;0.33383036
000029.txt;False;007571.txt;0.312742
000030.txt;False;007571.txt;0.3109864
000031.txt;False;007571.txt;0.36084887
000032.txt;False;007571.txt;0.36058134
000034.txt;False;051023.txt;0.4288913
000035.txt;False;023933.txt;0.33724383
000036.txt;False;009853.txt;0.357586
000037.txt;False;030453.txt;0.31753927
000038.txt;False;007571.txt;0.31112248
000039.txt;False;007571.txt;0.33032295
000040.txt;False;056100.txt;0.36428863
000041.txt;False;007571.txt;0.3605206
000042.txt;False;007571.txt;0.3291182
000043.txt;False;007571.txt;0.33317417
000044.txt;False;007571.txt;0.3282165
000045.txt;False;076816.txt;0.38000688
000046.txt;False;000613.txt;0.32423437
000047.txt;False;037422.txt;0.42113745
000048.txt;False;008115.txt;0.36602718
000049.txt;False;005037.txt;0.32715878
000050.txt;False;000056.txt;0.3309465
000051.txt;False;015672.txt;0.41665196
000052.txt;False;000613.txt;0.38262448
000053.txt;False;009186.txt;0.43691915
000054.txt;False;011832.txt;0.3429276
000055.txt;False;077690.txt;0.3913284
000056.txt;False;032015.txt;0.52068245
000057.txt;False;045032.txt;0.39169294
000058.txt;False;000056.txt;0.41633043
000059.txt;False;011874.txt;0.33144528
000060.txt;False;075360.txt;0.41447946
000061.txt;False;000056.txt;0.36591727
000062.txt;False;020186.txt;0.54867977
000063.txt;False;001743.txt;0.3780313
000064.txt;False;077646.txt;0.53731954
000065.txt;False;011874.txt;0.37386638
000066.txt;False;001032.txt;0.38658398
000067.txt;False;021391.txt;0.34352702
000068.txt;False;021375.txt;0.30048537
000069.txt;False;074385.txt;0.4359278
000070.txt;False;039414.txt;0.34256494
000071.txt;False;023931.txt;0.36308116
000072.txt;False;037226.txt;0.40307045
000073.txt;False;010823.txt;0.32721716
000074.txt;False;020249.txt;0.29939705
000075.txt;False;037495.txt;0.4791959
000076.txt;False;027472.txt;0.30098873
000077.txt;False;044057.txt;0.35736737
000078.txt;False;058407.txt;0.38311866
000079.txt;False;026181.txt;0.41072214
000080.txt;False;063143.txt;0.3068186
000081.txt;False;029409.txt;0.37085238
000082.txt;False;011874.txt;0.3171628
000083.txt;False;024251.txt;0.3043299
000084.txt;False;073609.txt;0.42894518
000085.txt;False;050935.txt;0.43333027
000086.txt;False;078568.txt;0.34012812
000087.txt;False;070808.txt;0.32922548
000088.txt;False;043922.txt;0.43118408
000089.txt;False;008668.txt;0.31292763
000090.txt;False;043253.txt;0.41668016
000091.txt;False;023363.txt;0.409787
000092.txt;False;014101.txt;0.28846586
000093.txt;False;023708.txt;0.33610556
000094.txt;False;014865.txt;0.24652383
000095.txt;False;011155.txt;0.31844446
000096.txt;False;009548.txt;0.38022548
000097.txt;False;068018.txt;0.39591354
000098.txt;False;039617.txt;0.34505254
000099.txt;False;003176.txt;0.33344293
000100.txt;False;077690.txt;0.4840262
000101.txt;False;025696.txt;0.341002
000102.txt;False;007170.txt;0.4663288
000103.txt;False;008668.txt;0.40012783
000104.txt;False;008668.txt;0.3400873
000105.txt;False;021324.txt;0.51413995
000106.txt;False;056802.txt;0.52992433
000107.txt;False;051169.txt;0.5506511
000108.txt;False;078125.txt;0.41821337
000109.txt;False;007571.txt;0.32563064
000110.txt;False;056100.txt;0.3430108
000111.txt;False;078136.txt;0.5452843
000112.txt;False;018522.txt;0.2824816
000113.txt;False;036827.txt;0.40925556
000114.txt;False;014163.txt;0.25983137
000115.txt;False;047284.txt;0.43992722
000116.txt;False;076649.txt;0.46577108
000117.txt;False;008668.txt;0.40911558
000118.txt;False;078208.txt;0.4524448
000119.txt;False;042439.txt;0.44304395
000120.txt;False;036827.txt;0.36048222
000121.txt;False;000118.txt;0.31615537
000122.txt;False;031247.txt;0.3369304
000123.txt;False;050334.txt;0.4318685
000124.txt;False;074427.txt;0.26616088
000126.txt;False;031758.txt;0.27705485
000127.txt;False;014101.txt;0.42003107
000128.txt;False;022691.txt;0.41193914
000129.txt;False;007571.txt;0.41373488
000130.txt;False;036827.txt;0.42435136
000131.txt;False;000613.txt;0.36051482
000132.txt;False;007571.txt;0.41538838
000133.txt;False;022691.txt;0.4075852
000134.txt;False;032275.txt;0.45775878
000135.txt;False;051374.txt;0.4626435
000136.txt;False;072142.txt;0.49769017
000137.txt;False;037676.txt;0.40498027
000138.txt;False;031543.txt;0.6387563
000139.txt;False;040289.txt;0.36123186
000140.txt;False;004953.txt;0.37829128
000141.txt;False;013756.txt;0.36563665
000142.txt;False;071176.txt;0.44745272
000143.txt;False;008668.txt;0.4781533
000144.txt;False;048059.txt;0.36094964
000145.txt;False;001820.txt;0.4692186
000146.txt;False;008668.txt;0.41649216
000147.txt;False;073273.txt;0.39290154
000148.txt;False;005420.txt;0.33086762
000149.txt;False;061598.txt;0.40918636
000150.txt;False;008230.txt;0.35938197
000151.txt;False;023931.txt;0.36373395
000152.txt;False;014094.txt;0.36434543
000153.txt;False;068074.txt;0.4006039
000154.txt;False;043922.txt;0.1571208
000155.txt;False;043922.txt;0.4520746
000156.txt;False;076649.txt;0.32746172
000157.txt;False;044743.txt;0.4180997
000158.txt;False;005644.txt;0.596722
000159.txt;False;009754.txt;0.5200902
000160.txt;False;012259.txt;0.3683313
000161.txt;False;004009.txt;0.35932043
000162.txt;False;007571.txt;0.36963093
000163.txt;False;037226.txt;0.4061086
000164.txt;False;000682.txt;0.3349083
000165.txt;False;011354.txt;0.4422227
000166.txt;False;013654.txt;0.36015034
000167.txt;False;000166.txt;0.46238828
000168.txt;False;047262.txt;0.37557036
000169.txt;False;075033.txt;0.4533195
000170.txt;False;002447.txt;0.38151073
000171.txt;False;073606.txt;0.53661263
000172.txt;False;014163.txt;0.22845614
000173.txt;False;008613.txt;0.39902955
000174.txt;False;067889.txt;0.8397161
000175.txt;False;068074.txt;0.40420222
000176.txt;False;032015.txt;0.43560797
000177.txt;False;065046.txt;0.24036244
000178.txt;False;005038.txt;0.5152145
000179.txt;False;021559.txt;0.51517427
000180.txt;False;030179.txt;0.22449094
000181.txt;False;052197.txt;0.43761784
000182.txt;False;037422.txt;0.4280385
000183.txt;False;037676.txt;0.4650811
000184.txt;False;076817.txt;0.49049646
000185.txt;False;032275.txt;0.40954882
000186.txt;False;037676.txt;0.43402287
000187.txt;False;001523.txt;0.40869907
000188.txt;False;025118.txt;0.38682872
000189.txt;False;040289.txt;0.41130078
000190.txt;False;007057.txt;0.37503487
000191.txt;False;022691.txt;0.36230063
000192.txt;False;010721.txt;0.37243354
000193.txt;False;067358.txt;0.4120826
000194.txt;False;030462.txt;0.46800232
000195.txt;False;075360.txt;0.40003523
000196.txt;False;035038.txt;0.36450475
000197.txt;False;039617.txt;0.30874562
000198.txt;False;074841.txt;0.6082448
000199.txt;False;017214.txt;0.6597112
000200.txt;False;068018.txt;0.34685782
000201.txt;False;068217.txt;0.52264094
000202.txt;False;030632.txt;0.46288785
000203.txt;False;068315.txt;0.3859649
000204.txt;False;037422.txt;0.3484957
000205.txt;False;056100.txt;0.40545267
000206.txt;False;056100.txt;0.345142
000207.txt;False;075946.txt;0.39718765
000208.txt;False;077690.txt;0.33827868
000209.txt;False;071330.txt;0.4342358
000210.txt;False;072794.txt;0.4838204
000211.txt;False;078310.txt;0.44370896
000212.txt;False;006573.txt;0.48598316
000213.txt;False;016773.txt;0.29778224
000214.txt;False;015361.txt;0.6733271
000215.txt;False;007406.txt;0.26836702
000216.txt;False;028298.txt;0.41866982
000217.txt;False;010092.txt;0.4677883
000219.txt;False;018522.txt;0.2908681
000220.txt;False;033738.txt;0.4752813
000221.txt;False;076649.txt;0.34446263
000222.txt;False;019281.txt;0.2042672
000223.txt;False;077690.txt;0.47132778
000224.txt;False;007249.txt;0.4535421
000225.txt;False;070463.txt;0.49410033
000226.txt;False;032099.txt;0.4258849
000227.txt;False;036827.txt;0.41884568
000228.txt;False;028960.txt;0.41334853
000229.txt;False;023931.txt;0.34550524
000230.txt;False;051005.txt;0.491262
000231.txt;False;078568.txt;0.34244663
000232.txt;False;029614.txt;0.4416591
000233.txt;False;010092.txt;0.40138957
000234.txt;False;023107.txt;0.3201169
000235.txt;False;028105.txt;0.49945503
000236.txt;False;030618.txt;0.48532587
000237.txt;False;025118.txt;0.37037143
000238.txt;False;025239.txt;0.4918659
000239.txt;False;023931.txt;0.3201389
000240.txt;False;010092.txt;0.41830447
000241.txt;False;041776.txt;0.4645831
000242.txt;False;077019.txt;0.42960516
000243.txt;False;010092.txt;0.40903693
000244.txt;False;018522.txt;0.24780667
000245.txt;False;039452.txt;0.41809207
000246.txt;False;035157.txt;0.25758988
000247.txt;False;008668.txt;0.3321131
000248.txt;False;000048.txt;0.37708855
000249.txt;False;048059.txt;0.32581007
000250.txt;False;014163.txt;0.21891764
000251.txt;False;000250.txt;0.4750235
000252.txt;False;068074.txt;0.31033388
000253.txt;False;031247.txt;0.29118672
000254.txt;False;028713.txt;0.38926333
000255.txt;False;008613.txt;0.27591774
000256.txt;False;057361.txt;0.38371697
000257.txt;False;076086.txt;0.5566391
000258.txt;False;014518.txt;0.3322447
000259.txt;False;037495.txt;0.44139743
000260.txt;False;014101.txt;0.33354202
000261.txt;False;007249.txt;0.33218104
000262.txt;False;010092.txt;0.32996643
000263.txt;False;018522.txt;0.25237358
000264.txt;False;029583.txt;0.37514204
000265.txt;False;019281.txt;0.21004294
000266.txt;False;068074.txt;0.32037014
000267.txt;False;000266.txt;0.5205971
000268.txt;False;026777.txt;0.30440062
000269.txt;False;013162.txt;0.27930695
000270.txt;False;004153.txt;0.862023
000271.txt;False;026530.txt;0.8616835
000272.txt;False;025118.txt;0.38262585
000273.txt;False;008115.txt;0.35568807
000274.txt;False;076817.txt;0.37900978
000275.txt;False;076816.txt;0.39004183
000276.txt;False;028188.txt;0.349491
000277.txt;False;029809.txt;0.38921276
000278.txt;False;056100.txt;0.38286394
000279.txt;False;028042.txt;0.39277965
000280.txt;False;025118.txt;0.36280006
000281.txt;False;008115.txt;0.37614542
000282.txt;False;025118.txt;0.41497913
000283.txt;False;008115.txt;0.40361217
000284.txt;False;072794.txt;0.3870852
000285.txt;False;050783.txt;0.37018946
000286.txt;False;030598.txt;0.57330376
000287.txt;False;032275.txt;0.3577069
000288.txt;False;032148.txt;0.4565031
000289.txt;False;037676.txt;0.383627
000290.txt;False;072690.txt;0.33585313
000291.txt;False;011345.txt;0.39621192
000292.txt;False;013162.txt;0.42550984
000293.txt;False;019203.txt;0.4001972
000294.txt;False;008613.txt;0.3454128
000295.txt;False;069022.txt;0.5146061
000296.txt;False;018522.txt;0.26095402
000297.txt;False;010092.txt;0.45637208
000298.txt;False;036381.txt;0.454975
000299.txt;False;046672.txt;0.47889262
000300.txt;False;076921.txt;0.33457386
000301.txt;False;056100.txt;0.48104334
000302.txt;False;068074.txt;0.32516074
000303.txt;False;076921.txt;0.3044317
000304.txt;False;044057.txt;0.41833857
000305.txt;False;036706.txt;0.5106255
000306.txt;False;023931.txt;0.28437394
000308.txt;False;074427.txt;0.27780056
000309.txt;False;002075.txt;0.3961286
000310.txt;False;015265.txt;0.30590722
000311.txt;False;076976.txt;0.36926383
000312.txt;False;008668.txt;0.3917426
000313.txt;False;018560.txt;0.2713141
000314.txt;False;076923.txt;0.28771788
000315.txt;False;075907.txt;0.35417897
000316.txt;False;075907.txt;0.31936967
000317.txt;False;009273.txt;0.33027712
000318.txt;False;076817.txt;0.31981835
000319.txt;False;073606.txt;0.36134827
000320.txt;False;077602.txt;0.27259922
000321.txt;False;000329.txt;0.78443146
000322.txt;False;038364.txt;0.35138965
000323.txt;False;014555.txt;0.29212132
000324.txt;False;077690.txt;0.37416148
000325.txt;False;005037.txt;0.3597576
000326.txt;False;045108.txt;0.6791553
000327.txt;False;073606.txt;0.29793578
000328.txt;False;001820.txt;0.38333744
000329.txt;False;068074.txt;0.30208695
000330.txt;False;000329.txt;0.44241267
000331.txt;False;039414.txt;0.30091244
000332.txt;False;008668.txt;0.46660024
