id;file_name;lv_title;en_title;lv_link;en_link
0;000000.txt;Astronomija;Astronomy;https://lv.wikipedia.org/wiki/Astronomija;https://en.wikipedia.org/wiki/Astronomy
1;000001.txt;Transformatīvās gramatikas teorija;Transformational grammar;https://lv.wikipedia.org/wiki/Transformat%C4%ABv%C4%81s_gramatikas_teorija;https://en.wikipedia.org/wiki/Transformational_grammar
2;000002.txt;Sfumato;Sfumato;https://lv.wikipedia.org/wiki/Sfumato;https://en.wikipedia.org/wiki/Sfumato
3;000003.txt;Turaida (Sigulda);Turaida;https://lv.wikipedia.org/wiki/Turaida_(Sigulda);https://en.wikipedia.org/wiki/Turaida
4;000004.txt;Ādams Lamberts;Adam Lambert;https://lv.wikipedia.org/wiki/%C4%80dams_Lamberts;https://en.wikipedia.org/wiki/Adam_Lambert
5;000005.txt;CoBrA;COBRA (art movement);https://lv.wikipedia.org/wiki/CoBrA;https://en.wikipedia.org/wiki/COBRA_(art_movement)
6;000006.txt;1928. gada Latvijas futbola Virslīgas sezona;1928 Latvian Higher League;https://lv.wikipedia.org/wiki/1928._gada_Latvijas_futbola_Virsl%C4%ABgas_sezona;https://en.wikipedia.org/wiki/1928_Latvian_Higher_League
7;000007.txt;1942. gada Latvijas futbola Virslīgas sezona;1942 Latvian Higher League;https://lv.wikipedia.org/wiki/1942._gada_Latvijas_futbola_Virsl%C4%ABgas_sezona;https://en.wikipedia.org/wiki/1942_Latvian_Higher_League
8;000008.txt;Urālpūce;Ural owl;https://lv.wikipedia.org/wiki/Ur%C4%81lp%C5%ABce;https://en.wikipedia.org/wiki/Ural_owl
9;000009.txt;Šūmeikera krāteris;Shoemaker (lunar crater);https://lv.wikipedia.org/wiki/%C5%A0%C5%ABmeikera_kr%C4%81teris;https://en.wikipedia.org/wiki/Shoemaker_(lunar_crater)
10;000010.txt;Nabisti;Nabis (art);https://lv.wikipedia.org/wiki/Nabisti;https://en.wikipedia.org/wiki/Nabis_(art)
11;000011.txt;1597. gads;1597;https://lv.wikipedia.org/wiki/1597._gads;https://en.wikipedia.org/wiki/1597
12;000012.txt;2010. gada Latvijas futbola 1. līgas sezona;2010 Latvian First League;https://lv.wikipedia.org/wiki/2010._gada_Latvijas_futbola_1._l%C4%ABgas_sezona;https://en.wikipedia.org/wiki/2010_Latvian_First_League
13;000013.txt;FIBA Pasaules kauss basketbolā sievietēm;FIBA Women's Basketball World Cup;https://lv.wikipedia.org/wiki/FIBA_Pasaules_kauss_basketbol%C4%81_sieviet%C4%93m;https://en.wikipedia.org/wiki/FIBA_Women%27s_Basketball_World_Cup
14;000014.txt;Amaja Valdemoro;Amaya Valdemoro;https://lv.wikipedia.org/wiki/Amaja_Valdemoro;https://en.wikipedia.org/wiki/Amaya_Valdemoro
15;000015.txt;Tatjana Troina;Tatyana Troina;https://lv.wikipedia.org/wiki/Tatjana_Troina;https://en.wikipedia.org/wiki/Tatyana_Troina
16;000016.txt;Jekaterinburgas UGMK;UMMC Ekaterinburg;https://lv.wikipedia.org/wiki/Jekaterinburgas_UGMK;https://en.wikipedia.org/wiki/UMMC_Ekaterinburg
17;000017.txt;Samaras CSKA;CSKA Samara;https://lv.wikipedia.org/wiki/Samaras_CSKA;https://en.wikipedia.org/wiki/CSKA_Samara
18;000018.txt;Metafiziskā glezniecība;Metaphysical painting;https://lv.wikipedia.org/wiki/Metafizisk%C4%81_glezniec%C4%ABba;https://en.wikipedia.org/wiki/Metaphysical_painting
19;000019.txt;Maskavas CSKA (sieviešu basketbola klubs);WBC CSKA Moscow;https://lv.wikipedia.org/wiki/Maskavas_CSKA_(sievie%C5%A1u_basketbola_klubs);https://en.wikipedia.org/wiki/WBC_CSKA_Moscow
20;000020.txt;Fīniksas "Mercury";Phoenix Mercury;https://lv.wikipedia.org/wiki/F%C4%ABniksas_%22Mercury%22;https://en.wikipedia.org/wiki/Phoenix_Mercury
21;000021.txt;Pols Kagame;Paul Kagame;https://lv.wikipedia.org/wiki/Pols_Kagame;https://en.wikipedia.org/wiki/Paul_Kagame
22;000022.txt;Starptautiskā Florbola federācija;International Floorball Federation;https://lv.wikipedia.org/wiki/Starptautisk%C4%81_Florbola_feder%C4%81cija;https://en.wikipedia.org/wiki/International_Floorball_Federation
23;000023.txt;Sieviešu Nacionālā basketbola asociācija;Women's National Basketball Association;https://lv.wikipedia.org/wiki/Sievie%C5%A1u_Nacion%C4%81l%C4%81_basketbola_asoci%C4%81cija;https://en.wikipedia.org/wiki/Women%27s_National_Basketball_Association
24;000024.txt;Hēsiods;Hesiod;https://lv.wikipedia.org/wiki/H%C4%93siods;https://en.wikipedia.org/wiki/Hesiod
25;000025.txt;2005. gada Eiropas čempionāts basketbolā sievietēm;EuroBasket Women 2005;https://lv.wikipedia.org/wiki/2005._gada_Eiropas_%C4%8Dempion%C4%81ts_basketbol%C4%81_sieviet%C4%93m;https://en.wikipedia.org/wiki/EuroBasket_Women_2005
26;000026.txt;2003. gada Eiropas čempionāts basketbolā sievietēm;EuroBasket Women 2003;https://lv.wikipedia.org/wiki/2003._gada_Eiropas_%C4%8Dempion%C4%81ts_basketbol%C4%81_sieviet%C4%93m;https://en.wikipedia.org/wiki/EuroBasket_Women_2003
27;000027.txt;2001. gada Eiropas čempionāts basketbolā sievietēm;EuroBasket Women 2001;https://lv.wikipedia.org/wiki/2001._gada_Eiropas_%C4%8Dempion%C4%81ts_basketbol%C4%81_sieviet%C4%93m;https://en.wikipedia.org/wiki/EuroBasket_Women_2001
28;000028.txt;2011. gada Eiropas čempionāts basketbolā sievietēm;EuroBasket Women 2011;https://lv.wikipedia.org/wiki/2011._gada_Eiropas_%C4%8Dempion%C4%81ts_basketbol%C4%81_sieviet%C4%93m;https://en.wikipedia.org/wiki/EuroBasket_Women_2011
29;000029.txt;1999. gada Eiropas čempionāts basketbolā sievietēm;EuroBasket Women 1999;https://lv.wikipedia.org/wiki/1999._gada_Eiropas_%C4%8Dempion%C4%81ts_basketbol%C4%81_sieviet%C4%93m;https://en.wikipedia.org/wiki/EuroBasket_Women_1999
30;000030.txt;Bena 10;Ben 10 (2005 TV series);https://lv.wikipedia.org/wiki/Bena_10;https://en.wikipedia.org/wiki/Ben_10_(2005_TV_series)
31;000031.txt;1997. gada Eiropas čempionāts basketbolā sievietēm;EuroBasket Women 1997;https://lv.wikipedia.org/wiki/1997._gada_Eiropas_%C4%8Dempion%C4%81ts_basketbol%C4%81_sieviet%C4%93m;https://en.wikipedia.org/wiki/EuroBasket_Women_1997
32;000032.txt;1995. gada Eiropas čempionāts basketbolā sievietēm;EuroBasket Women 1995;https://lv.wikipedia.org/wiki/1995._gada_Eiropas_%C4%8Dempion%C4%81ts_basketbol%C4%81_sieviet%C4%93m;https://en.wikipedia.org/wiki/EuroBasket_Women_1995
33;000033.txt;1993. gada Eiropas čempionāts basketbolā sievietēm;EuroBasket Women 1993;https://lv.wikipedia.org/wiki/1993._gada_Eiropas_%C4%8Dempion%C4%81ts_basketbol%C4%81_sieviet%C4%93m;https://en.wikipedia.org/wiki/EuroBasket_Women_1993
34;000034.txt;2011. gada Eiropas čempionāts basketbolā;EuroBasket 2011;https://lv.wikipedia.org/wiki/2011._gada_Eiropas_%C4%8Dempion%C4%81ts_basketbol%C4%81;https://en.wikipedia.org/wiki/EuroBasket_2011
35;000035.txt;2013. gada Eiropas čempionāts basketbolā;EuroBasket 2013;https://lv.wikipedia.org/wiki/2013._gada_Eiropas_%C4%8Dempion%C4%81ts_basketbol%C4%81;https://en.wikipedia.org/wiki/EuroBasket_2013
36;000036.txt;Gangsteris;Gangster;https://lv.wikipedia.org/wiki/Gangsteris;https://en.wikipedia.org/wiki/Gangster
37;000037.txt;Jurgens;Jurgens;https://lv.wikipedia.org/wiki/Jurgens;https://en.wikipedia.org/wiki/Jurgens
38;000038.txt;Pols;POLS;https://lv.wikipedia.org/wiki/Pols;https://en.wikipedia.org/wiki/POLS
39;000039.txt;Prerafaelītu brālība;Pre-Raphaelite Brotherhood;https://lv.wikipedia.org/wiki/Prerafael%C4%ABtu_br%C4%81l%C4%ABba;https://en.wikipedia.org/wiki/Pre-Raphaelite_Brotherhood
40;000040.txt;Velokurjers;Bicycle messenger;https://lv.wikipedia.org/wiki/Velokurjers;https://en.wikipedia.org/wiki/Bicycle_messenger
41;000041.txt;Džamala;Jamala;https://lv.wikipedia.org/wiki/D%C5%BEamala;https://en.wikipedia.org/wiki/Jamala
42;000042.txt;1991. gada Eiropas čempionāts basketbolā sievietēm;EuroBasket Women 1991;https://lv.wikipedia.org/wiki/1991._gada_Eiropas_%C4%8Dempion%C4%81ts_basketbol%C4%81_sieviet%C4%93m;https://en.wikipedia.org/wiki/EuroBasket_Women_1991
43;000043.txt;1989. gada Eiropas čempionāts basketbolā sievietēm;EuroBasket Women 1989;https://lv.wikipedia.org/wiki/1989._gada_Eiropas_%C4%8Dempion%C4%81ts_basketbol%C4%81_sieviet%C4%93m;https://en.wikipedia.org/wiki/EuroBasket_Women_1989
44;000044.txt;1987. gada Eiropas čempionāts basketbolā sievietēm;EuroBasket Women 1987;https://lv.wikipedia.org/wiki/1987._gada_Eiropas_%C4%8Dempion%C4%81ts_basketbol%C4%81_sieviet%C4%93m;https://en.wikipedia.org/wiki/EuroBasket_Women_1987
45;000045.txt;1985. gada Eiropas čempionāts basketbolā sievietēm;EuroBasket Women 1985;https://lv.wikipedia.org/wiki/1985._gada_Eiropas_%C4%8Dempion%C4%81ts_basketbol%C4%81_sieviet%C4%93m;https://en.wikipedia.org/wiki/EuroBasket_Women_1985
46;000046.txt;1983. gada Eiropas čempionāts basketbolā sievietēm;EuroBasket Women 1983;https://lv.wikipedia.org/wiki/1983._gada_Eiropas_%C4%8Dempion%C4%81ts_basketbol%C4%81_sieviet%C4%93m;https://en.wikipedia.org/wiki/EuroBasket_Women_1983
47;000047.txt;1981. gada Eiropas čempionāts basketbolā sievietēm;EuroBasket Women 1981;https://lv.wikipedia.org/wiki/1981._gada_Eiropas_%C4%8Dempion%C4%81ts_basketbol%C4%81_sieviet%C4%93m;https://en.wikipedia.org/wiki/EuroBasket_Women_1981
48;000048.txt;1980. gada Eiropas čempionāts basketbolā sievietēm;EuroBasket Women 1980;https://lv.wikipedia.org/wiki/1980._gada_Eiropas_%C4%8Dempion%C4%81ts_basketbol%C4%81_sieviet%C4%93m;https://en.wikipedia.org/wiki/EuroBasket_Women_1980
49;000049.txt;Francijas sieviešu basketbola izlase;France women's national basketball team;https://lv.wikipedia.org/wiki/Francijas_sievie%C5%A1u_basketbola_izlase;https://en.wikipedia.org/wiki/France_women%27s_national_basketball_team
50;000050.txt;Čehijas sieviešu basketbola izlase;Czech Republic women's national basketball team;https://lv.wikipedia.org/wiki/%C4%8Cehijas_sievie%C5%A1u_basketbola_izlase;https://en.wikipedia.org/wiki/Czech_Republic_women%27s_national_basketball_team
51;000051.txt;Jaunais kurss;New Deal;https://lv.wikipedia.org/wiki/Jaunais_kurss;https://en.wikipedia.org/wiki/New_Deal
52;000052.txt;Argentīnas sieviešu basketbola izlase;Argentina women's national basketball team;https://lv.wikipedia.org/wiki/Argent%C4%ABnas_sievie%C5%A1u_basketbola_izlase;https://en.wikipedia.org/wiki/Argentina_women%27s_national_basketball_team
53;000053.txt;Baltkrievijas sieviešu basketbola izlase;Belarus women's national basketball team;https://lv.wikipedia.org/wiki/Baltkrievijas_sievie%C5%A1u_basketbola_izlase;https://en.wikipedia.org/wiki/Belarus_women%27s_national_basketball_team
