query_file;found;search_result;search_distances
000000.txt;False;056019.txt;0.07061681
000001.txt;False;064311.txt;0.1957207
000002.txt;False;000064.txt;0.16104162
000003.txt;False;025641.txt;0.17236957
000004.txt;False;036142.txt;0.21825776
000005.txt;False;008046.txt;0.14060247
000006.txt;False;002652.txt;0.14613119
000007.txt;False;064985.txt;0.07957159
000008.txt;False;036231.txt;0.09619288
000009.txt;False;015641.txt;0.19644028
000010.txt;True;000010.txt;0.119457506
000011.txt;False;008453.txt;0.13130027
000012.txt;False;000614.txt;0.12926081
000013.txt;False;050537.txt;0.16911533
000014.txt;False;016242.txt;0.15461063
000015.txt;True;000015.txt;0.17470714
000016.txt;True;000016.txt;0.13174263
000017.txt;False;078368.txt;0.2241461
000018.txt;False;017740.txt;0.19508567
000019.txt;False;052643.txt;0.11893965
000020.txt;False;042510.txt;0.12140636
000021.txt;False;078678.txt;0.12711117
000022.txt;True;000022.txt;0.09679139
000023.txt;False;002523.txt;0.12258354
000024.txt;False;075527.txt;0.12633803
000025.txt;True;000025.txt;0.090613164
000026.txt;False;015022.txt;0.12919195
000027.txt;True;000027.txt;0.08671253
000028.txt;True;000028.txt;0.09648432
000029.txt;False;000022.txt;0.12133154
000030.txt;False;003339.txt;0.09217188
000031.txt;False;020427.txt;0.13465248
000032.txt;False;002268.txt;0.13761877
000034.txt;False;064600.txt;0.12732698
000035.txt;False;063872.txt;0.17947516
000036.txt;False;034466.txt;0.14556035
000037.txt;True;000037.txt;0.10986243
000038.txt;True;000038.txt;0.0940857
000039.txt;True;000039.txt;0.095082134
000040.txt;True;000040.txt;0.09692082
000041.txt;True;000041.txt;0.08719276
000042.txt;True;000042.txt;0.086867504
000043.txt;True;000043.txt;0.08646151
000044.txt;False;000236.txt;0.14702407
000045.txt;True;000045.txt;0.15580496
000046.txt;False;000132.txt;0.16415842
000047.txt;False;000132.txt;0.14035302
000048.txt;False;053277.txt;0.08313517
000049.txt;False;050394.txt;0.12599954
000050.txt;False;004011.txt;0.12046622
000051.txt;False;001399.txt;0.13281137
000052.txt;False;000236.txt;0.17757715
000053.txt;False;015410.txt;0.12626112
000054.txt;False;038058.txt;0.12588948
000055.txt;False;010770.txt;0.16058461
000056.txt;False;072077.txt;0.109346166
000057.txt;False;017677.txt;0.10602538
000058.txt;False;015410.txt;0.12442619
000059.txt;False;012935.txt;0.10560438
000060.txt;False;015410.txt;0.12286131
000061.txt;False;013337.txt;0.17789462
000062.txt;True;000062.txt;0.10930434
000063.txt;False;059872.txt;0.1656763
000064.txt;False;038148.txt;0.12711836
000065.txt;False;007938.txt;0.07096976
000066.txt;False;051444.txt;0.1533187
000067.txt;False;032781.txt;0.11949832
000068.txt;False;042345.txt;0.1482375
000069.txt;False;015613.txt;0.12832874
000070.txt;False;022325.txt;0.08347495
000071.txt;False;009510.txt;0.11000198
000072.txt;True;000072.txt;0.08959491
000073.txt;False;028765.txt;0.13521665
000074.txt;False;071707.txt;0.14537147
000075.txt;False;021010.txt;0.07190576
000076.txt;False;039642.txt;0.20616257
000077.txt;False;016434.txt;0.22547194
000078.txt;False;001354.txt;0.111390345
000079.txt;False;023592.txt;0.104446426
000080.txt;False;008515.txt;0.13134575
000081.txt;False;062779.txt;0.1556848
000082.txt;False;020532.txt;0.14670068
000083.txt;False;009510.txt;0.08458258
000084.txt;False;037467.txt;0.181739
000085.txt;False;062557.txt;0.1361704
000086.txt;False;062504.txt;0.17027295
000087.txt;False;065862.txt;0.1008458
000088.txt;False;003054.txt;0.12879856
000089.txt;False;064951.txt;0.12483349
000090.txt;False;005315.txt;0.095338054
000091.txt;False;052659.txt;0.09723079
000092.txt;False;035520.txt;0.14147113
000093.txt;False;041282.txt;0.17532533
000094.txt;False;019487.txt;0.051622488
000095.txt;False;000636.txt;0.093008816
000096.txt;False;071177.txt;0.11404671
000097.txt;False;001240.txt;0.07558086
000098.txt;False;032582.txt;0.0926839
000099.txt;False;022524.txt;0.10870023
000100.txt;False;016053.txt;0.08891367
000101.txt;False;010892.txt;0.18564186
000102.txt;False;002447.txt;0.09963989
000103.txt;False;057561.txt;0.06795842
000104.txt;False;067136.txt;0.17855157
000105.txt;False;056078.txt;0.20661396
000106.txt;False;059903.txt;0.09427937
000107.txt;False;005562.txt;0.18218532
000108.txt;True;000108.txt;0.091183774
000109.txt;True;000109.txt;0.0887434
